freq ReP ImP
9.157509e+09 -1.494344e-07 1.270189e-08
8.605852e+09 -1.498062e-07 1.134137e-08
8.090615e+09 -1.498326e-07 8.205130e-09
7.604563e+09 -1.500440e-07 6.201086e-09
7.147963e+09 -1.501648e-07 3.828611e-09
6.724950e+09 -1.499973e-07 -4.091539e-10
6.321113e+09 -1.499165e-07 -3.707871e-09
5.948840e+09 -1.498684e-07 -7.421084e-09
5.595971e+09 -1.496484e-07 -1.176612e-08
5.263158e+09 -1.492795e-07 -1.676526e-08
4.952947e+09 -1.488615e-07 -2.239432e-08
4.659832e+09 -1.485376e-07 -2.738315e-08
4.385965e+09 -1.478521e-07 -3.463000e-08
4.127115e+09 -1.474953e-07 -3.996019e-08
3.885004e+09 -1.464622e-07 -4.919137e-08
3.656307e+09 -1.457302e-07 -5.668719e-08
3.442341e+09 -1.445735e-07 -6.682346e-08
3.240441e+09 -1.431374e-07 -7.837371e-08
3.050641e+09 -1.417177e-07 -8.996750e-08
2.871913e+09 -1.399912e-07 -1.032292e-07
2.704164e+09 -1.379837e-07 -1.182563e-07
2.546473e+09 -1.359028e-07 -1.338262e-07
2.397507e+09 -1.333423e-07 -1.516592e-07
2.257846e+09 -1.304083e-07 -1.717849e-07
2.126302e+09 -1.269666e-07 -1.945239e-07
2.002403e+09 -1.232260e-07 -2.186991e-07
1.885725e+09 -1.188626e-07 -2.460141e-07
1.775884e+09 -1.140780e-07 -2.753135e-07
1.672520e+09 -1.085439e-07 -3.083232e-07
1.575299e+09 -1.021973e-07 -3.453478e-07
1.483900e+09 -9.497269e-08 -3.867209e-07
1.397624e+09 -8.714403e-08 -4.302105e-07
1.316482e+09 -7.793754e-08 -4.802980e-07
1.240079e+09 -6.771011e-08 -5.346806e-07
1.168224e+09 -5.637339e-08 -5.937914e-07
1.100473e+09 -4.338693e-08 -6.597419e-07
1.036592e+09 -2.906998e-08 -7.303259e-07
9.765625e+08 -1.213563e-08 -8.128277e-07
9.199632e+08 6.774965e-09 -9.025360e-07
8.665511e+08 2.570051e-08 -9.881098e-07
8.163265e+08 4.977141e-08 -1.097481e-06
7.692308e+08 7.393705e-08 -1.203425e-06
7.246377e+08 1.044027e-07 -1.335641e-06
6.825939e+08 1.361499e-07 -1.466936e-06
6.430868e+08 1.717335e-07 -1.611693e-06
6.060606e+08 2.137633e-07 -1.783907e-06
5.711022e+08 2.584250e-07 -1.958768e-06
5.379236e+08 2.978422e-07 -2.140715e-06
5.068424e+08 3.417307e-07 -2.356999e-06
4.775549e+08 3.859077e-07 -2.598945e-06
4.498426e+08 4.320278e-07 -2.856944e-06
4.239084e+08 4.891766e-07 -3.156204e-06
3.993610e+08 5.516904e-07 -3.461986e-06
3.763643e+08 6.294814e-07 -3.825211e-06
3.546099e+08 7.146548e-07 -4.211500e-06
3.341129e+08 8.183254e-07 -4.620977e-06
3.148615e+08 9.429010e-07 -5.077949e-06
