 t Vext Jext errJ Jint  G_frac QLFSL1 QLFSL2 QLFSL3 JphotoL1 JphotoL2 JphotoL3 JdirL1 JdirL2 JdirL3 JbulkElecL1 JbulkElecL2 JbulkElecL3 JbulkHolesL1 JbulkHolesL2 JbulkHolesL3 JintElecL1L2 JintElecL2L3 JintHolesL1L2 JintHolesL2L3 JminLeft JminRight JShunt Jnion Jpion JD
 0.00000000000000000000E+0000  0.00000000000000000000E+0000  1.36906968176636457028E-0005  7.25915432863789728022E-0006  1.36906968176636457028E-0005  1.00000000000000000000E+0000  1.49265604452387016350E+0000  1.56956032767936651934E+0000  1.44383497510916192620E+0000  0.00000000000000000000E+0000  2.23269675379811485205E+0002  0.00000000000000000000E+0000  1.83703722082930777114E-0038  2.14665863263571724952E-0001  2.21639009536419122337E-0032  0.00000000000000000000E+0000  2.19821395498268392948E+0002  0.00000000000000000000E+0000  0.00000000000000000000E+0000  2.19821407996077239189E+0002  0.00000000000000000000E+0000  0.00000000000000000000E+0000  0.00000000000000000000E+0000  0.00000000000000000000E+0000  0.00000000000000000000E+0000  3.36906626448475567423E-0014 -3.07681849965597390274E+0000  0.00000000000000000000E+0000  0.00000000000000000000E+0000  0.00000000000000000000E+0000  0.00000000000000000000E+0000
 9.99999999999999999990E-0014  0.00000000000000000000E+0000  5.16870680379349865417E-0001  1.09119589380823067985E+0000  5.16870680379349865417E-0001  1.04999999999999999996E+0000  1.49265604453426728286E+0000  1.56956032779272664835E+0000  1.44383497510967518892E+0000  0.00000000000000000000E+0000  2.34433159148802059510E+0002  0.00000000000000000000E+0000  1.83703712127372113735E-0038  2.14665866414484680322E-0001  2.21639006669590841823E-0032  0.00000000000000000000E+0000  2.19821395412134967834E+0002  0.00000000000000000000E+0000  0.00000000000000000000E+0000  2.19821397527656588383E+0002  0.00000000000000000000E+0000  0.00000000000000000000E+0000  0.00000000000000000000E+0000  0.00000000000000000000E+0000  0.00000000000000000000E+0000  8.14129801624101185523E-0003 -1.32457183726342987923E+0001  0.00000000000000000000E+0000  0.00000000000000000000E+0000  0.00000000000000000000E+0000  5.19499601010850023928E-0001
 2.02000000000000000006E-0013  0.00000000000000000000E+0000  1.78553660083109032812E-0001  4.30454243845054711931E-0001  1.78553660083109032812E-0001  1.04999999999999999996E+0000  1.49265604455515333486E+0000  1.56956032801357964679E+0000  1.44383497511072987000E+0000  0.00000000000000000000E+0000  2.34433159148802059510E+0002  0.00000000000000000000E+0000  1.83703712122110031399E-0038  2.14665868609032774067E-0001  2.21639006755522769132E-0032  0.00000000000000000000E+0000  2.19821396101411892093E+0002  0.00000000000000000000E+0000  0.00000000000000000000E+0000  2.19821398866946168510E+0002  0.00000000000000000000E+0000  0.00000000000000000000E+0000  0.00000000000000000000E+0000  0.00000000000000000000E+0000  0.00000000000000000000E+0000  7.40890587312411130202E-0003 -1.23309221736997371276E+0001  0.00000000000000000000E+0000  0.00000000000000000000E+0000  0.00000000000000000000E+0000  1.81003822665273283394E-0001
 3.05999999999999999989E-0013  0.00000000000000000000E+0000 -2.87829646214554260300E-0002  2.03464741652375459438E-0001 -2.87829646214554260300E-0002  1.04999999999999999996E+0000  1.49265604458708959622E+0000  1.56956032833640063363E+0000  1.44383497511239222916E+0000  0.00000000000000000000E+0000  2.34433159148802059510E+0002  0.00000000000000000000E+0000  1.83703712117846841741E-0038  2.14665871775569589295E-0001  2.21639006884276475464E-0032  0.00000000000000000000E+0000  2.19821397095977793840E+0002  0.00000000000000000000E+0000  0.00000000000000000000E+0000  2.19821400799422339428E+0002  0.00000000000000000000E+0000  0.00000000000000000000E+0000  0.00000000000000000000E+0000  0.00000000000000000000E+0000  0.00000000000000000000E+0000  6.74239927036397509178E-0003 -1.14984200452227218097E+0001  0.00000000000000000000E+0000  0.00000000000000000000E+0000  0.00000000000000000000E+0000 -2.64954427886614185168E-0002
 4.12200000000000000012E-0013  0.00000000000000000000E+0000 -3.89236049340295700408E-0002  9.87314913330878773286E-0002 -3.89236049340295700408E-0002  1.04999999999999999996E+0000  1.49265604463110617382E+0000  1.56956032875678469507E+0000  1.44383497511476637497E+0000  0.00000000000000000000E+0000  2.34433159148802059510E+0002  0.00000000000000000000E+0000  1.83703712118977079252E-0038  2.14665875870544933611E-0001  2.21639007059771138202E-0032  0.00000000000000000000E+0000  2.19821398382155885398E+0002  0.00000000000000000000E+0000  0.00000000000000000000E+0000  2.19821403298508118176E+0002  0.00000000000000000000E+0000  0.00000000000000000000E+0000  0.00000000000000000000E+0000  0.00000000000000000000E+0000  0.00000000000000000000E+0000  6.13585116623740615211E-0003 -1.07408086463986723949E+0001  0.00000000000000000000E+0000  0.00000000000000000000E+0000  0.00000000000000000000E+0000 -3.67839463644735986366E-0002
 5.20400000000000000019E-0013  0.00000000000000000000E+0000 -1.00227403298764452869E-0002  3.79934348286930256019E-0002 -1.00227403298764452869E-0002  1.04999999999999999996E+0000  1.49265604468835895967E+0000  1.56956032926921299701E+0000  1.44383497511797321818E+0000  0.00000000000000000000E+0000  2.34433159148802059510E+0002  0.00000000000000000000E+0000  1.83703712131158608248E-0038  2.14665880844777644428E-0001  2.21639007286742680558E-0032  0.00000000000000000000E+0000  2.19821399944501365192E+0002  0.00000000000000000000E+0000  0.00000000000000000000E+0000  2.19821406334190105572E+0002  0.00000000000000000000E+0000  0.00000000000000000000E+0000  0.00000000000000000000E+0000  0.00000000000000000000E+0000  0.00000000000000000000E+0000  5.58386771163569928935E-0003 -1.00513506634946571368E+0001  0.00000000000000000000E+0000  0.00000000000000000000E+0000  0.00000000000000000000E+0000 -8.01747876788795518297E-0003
 6.30799999999999999979E-0013  0.00000000000000000000E+0000  4.48222857536593364642E-0004  8.15321879337855852775E-0002  4.48222857536593364642E-0004  1.04999999999999999996E+0000  1.49265604476037431407E+0000  1.56956032987017712768E+0000  1.44383497512216154234E+0000  0.00000000000000000000E+0000  2.34433159148802059510E+0002  0.00000000000000000000E+0000  1.83703712161117261768E-0038  2.14665886661761397481E-0001  2.21639007570924342788E-0032  0.00000000000000000000E+0000  2.19821401771550832438E+0002  0.00000000000000000000E+0000  0.00000000000000000000E+0000  2.19821409884190238110E+0002  0.00000000000000000000E+0000  0.00000000000000000000E+0000  0.00000000000000000000E+0000  0.00000000000000000000E+0000  0.00000000000000000000E+0000  5.08154028138059695344E-0003 -9.42391487067419054632E+0000  0.00000000000000000000E+0000  0.00000000000000000000E+0000  0.00000000000000000000E+0000  2.33140064372185184398E-0003
 7.43399999999999999992E-0013  0.00000000000000000000E+0000 -6.18270073884066386183E-0004  7.57032974024470991934E-0002 -6.18270073884066386183E-0004  1.04999999999999999996E+0000  1.49265604484867141211E+0000  1.56956033055562396456E+0000  1.44383497512748462514E+0000  0.00000000000000000000E+0000  2.34433159148802059510E+0002  0.00000000000000000000E+0000  1.83703712216863780240E-0038  2.14665893284509834242E-0001  2.21639007918324685115E-0032  0.00000000000000000000E+0000  2.19821403851690513900E+0002  0.00000000000000000000E+0000  0.00000000000000000000E+0000  2.19821413925937704598E+0002  0.00000000000000000000E+0000  0.00000000000000000000E+0000  0.00000000000000000000E+0000  0.00000000000000000000E+0000  0.00000000000000000000E+0000  4.62440183192243512554E-0003 -8.85292162306958026804E+0000  0.00000000000000000000E+0000  0.00000000000000000000E+0000  0.00000000000000000000E+0000  1.15411279480790332071E-0003
 8.58300000000000000006E-0013  0.00000000000000000000E+0000 -2.11182935387323277746E-0003  4.20155146247688394104E-0002 -2.11182935387323277746E-0003  1.04999999999999999996E+0000  1.49265604495484340464E+0000  1.56956033132240507994E+0000  1.44383497513410318717E+0000  0.00000000000000000000E+0000  2.34433159148802059510E+0002  0.00000000000000000000E+0000  1.83703712307567294224E-0038  2.14665900682496837840E-0001  2.21639008335064278309E-0032  0.00000000000000000000E+0000  2.19821406175336015412E+0002  0.00000000000000000000E+0000  0.00000000000000000000E+0000  2.19821418440804474667E+0002  0.00000000000000000000E+0000  0.00000000000000000000E+0000  0.00000000000000000000E+0000  0.00000000000000000000E+0000  0.00000000000000000000E+0000  4.20838717354554719355E-0003 -8.33329322722820226618E+0000  0.00000000000000000000E+0000  0.00000000000000000000E+0000  0.00000000000000000000E+0000 -4.39883940892246966702E-0004
 9.75499999999999999972E-0013  0.00000000000000000000E+0000 -1.86421071361157303411E-0003  5.54233107935158722739E-0003 -1.86421071361157303411E-0003  1.04999999999999999996E+0000  1.49265604508031689995E+0000  1.56956033216703881605E+0000  1.44383497514216959561E+0000  0.00000000000000000000E+0000  2.34433159148802059510E+0002  0.00000000000000000000E+0000  1.83703712443579665180E-0038  2.14665908823216053733E-0001  2.21639008826709801994E-0032  0.00000000000000000000E+0000  2.19821408732281287635E+0002  0.00000000000000000000E+0000  0.00000000000000000000E+0000  2.19821423408954220502E+0002  0.00000000000000000000E+0000  0.00000000000000000000E+0000  0.00000000000000000000E+0000  0.00000000000000000000E+0000  0.00000000000000000000E+0000  3.82979682275167015101E-0003 -7.86040879304290905248E+0000  0.00000000000000000000E+0000  0.00000000000000000000E+0000  0.00000000000000000000E+0000 -2.83197553177524598111E-0004
