freq ReP ImP
9.157509e+09 -5.368045e-08 1.303906e-09
8.605852e+09 -5.378073e-08 4.203429e-10
8.090615e+09 -5.375229e-08 -1.143699e-09
7.604563e+09 -5.378437e-08 -2.352994e-09
7.147963e+09 -5.377717e-08 -3.750268e-09
6.724950e+09 -5.366072e-08 -5.869678e-09
6.321113e+09 -5.356577e-08 -7.729550e-09
5.948840e+09 -5.347527e-08 -9.798999e-09
5.595971e+09 -5.331225e-08 -1.218303e-08
5.263158e+09 -5.308340e-08 -1.489584e-08
4.952947e+09 -5.282469e-08 -1.792641e-08
4.659832e+09 -5.258381e-08 -2.084345e-08
4.385965e+09 -5.219829e-08 -2.468361e-08
4.127115e+09 -5.191024e-08 -2.797893e-08
3.885004e+09 -5.136087e-08 -3.281101e-08
3.656307e+09 -5.089320e-08 -3.719270e-08
3.442341e+09 -5.024857e-08 -4.268922e-08
3.240441e+09 -4.947330e-08 -4.889501e-08
3.050641e+09 -4.866920e-08 -5.533322e-08
2.871913e+09 -4.771672e-08 -6.260996e-08
2.704164e+09 -4.662217e-08 -7.077455e-08
2.546473e+09 -4.545470e-08 -7.941993e-08
2.397507e+09 -4.406040e-08 -8.920517e-08
2.257846e+09 -4.247536e-08 -1.001460e-07
2.126302e+09 -4.064192e-08 -1.124058e-07
2.002403e+09 -3.862605e-08 -1.256042e-07
1.885725e+09 -3.630505e-08 -1.403888e-07
1.775884e+09 -3.374008e-08 -1.563927e-07
1.672520e+09 -3.080543e-08 -1.742764e-07
1.575299e+09 -2.746790e-08 -1.941971e-07
1.483900e+09 -2.369409e-08 -2.163259e-07
1.397624e+09 -1.955893e-08 -2.399682e-07
1.316482e+09 -1.478036e-08 -2.667547e-07
1.240079e+09 -9.465203e-09 -2.959559e-07
1.168224e+09 -3.568264e-09 -3.277969e-07
1.100473e+09 2.393608e-09 -3.632369e-07
1.036592e+09 7.422159e-09 -4.020874e-07
9.765625e+08 1.201433e-08 -4.475569e-07
9.199632e+08 1.692700e-08 -4.986179e-07
8.665511e+08 2.196179e-08 -5.514312e-07
8.163265e+08 2.794714e-08 -6.161786e-07
7.692308e+08 3.422761e-08 -6.835926e-07
7.246377e+08 4.496108e-08 -7.642481e-07
6.825939e+08 5.680260e-08 -8.486520e-07
6.430868e+08 7.186328e-08 -9.417397e-07
6.060606e+08 9.034765e-08 -1.048268e-06
5.711022e+08 1.116613e-07 -1.160189e-06
5.379236e+08 1.360481e-07 -1.278973e-06
5.068424e+08 1.659840e-07 -1.412738e-06
4.775549e+08 2.013836e-07 -1.557941e-06
4.498426e+08 2.405026e-07 -1.711565e-06
4.239084e+08 2.860340e-07 -1.881683e-06
3.993610e+08 3.361695e-07 -2.057175e-06
3.763643e+08 3.928761e-07 -2.255487e-06
3.546099e+08 4.547425e-07 -2.466248e-06
3.341129e+08 5.223668e-07 -2.689928e-06
3.148615e+08 5.976053e-07 -2.936060e-06
2.966479e+08 6.792671e-07 -3.199263e-06
2.794857e+08 7.684638e-07 -3.484681e-06
2.633658e+08 8.655395e-07 -3.793113e-06
2.481390e+08 9.717610e-07 -4.123880e-06
2.338087e+08 1.086117e-06 -4.482402e-06
2.203128e+08 1.211468e-06 -4.871094e-06
2.075981e+08 1.346599e-06 -5.288434e-06
1.956182e+08 1.494341e-06 -5.745656e-06
1.843318e+08 1.653908e-06 -6.237194e-06
1.736714e+08 1.826313e-06 -6.767893e-06
1.636661e+08 2.012640e-06 -7.346126e-06
1.542020e+08 2.212211e-06 -7.968562e-06
1.453066e+08 2.428391e-06 -8.643822e-06
1.369113e+08 2.660535e-06 -9.375571e-06
1.290156e+08 2.910686e-06 -1.017467e-05
1.215658e+08 3.179650e-06 -1.103758e-05
1.145607e+08 3.468684e-06 -1.197966e-05
1.079447e+08 3.777313e-06 -1.300116e-05
1.017191e+08 4.108568e-06 -1.411842e-05
9.587728e+07 4.463211e-06 -1.533989e-05
9.033424e+07 4.843567e-06 -1.667518e-05
8.510638e+07 5.243607e-06 -1.810040e-05
8.019246e+07 5.677742e-06 -1.969633e-05
7.558579e+07 6.133429e-06 -2.139774e-05
7.122507e+07 6.629345e-06 -2.330914e-05
6.711409e+07 7.154926e-06 -2.536971e-05
6.321113e+07 7.720882e-06 -2.765221e-05
5.959476e+07 8.323034e-06 -3.015139e-05
5.614823e+07 8.967475e-06 -3.285766e-05
5.291005e+07 9.667038e-06 -3.586013e-05
4.985045e+07 1.042202e-05 -3.916951e-05
4.697041e+07 1.123369e-05 -4.277153e-05
4.426737e+07 1.211815e-05 -4.674773e-05
4.171882e+07 1.307476e-05 -5.108499e-05
3.930818e+07 1.412326e-05 -5.586910e-05
3.703704e+07 1.527354e-05 -6.112243e-05
3.490401e+07 1.653141e-05 -6.686755e-05
3.288392e+07 1.791873e-05 -7.317217e-05
3.098853e+07 1.945086e-05 -8.008149e-05
2.920561e+07 2.113678e-05 -8.760222e-05
2.751789e+07 2.301687e-05 -9.586727e-05
2.593361e+07 2.509389e-05 -1.048647e-04
2.443196e+07 2.741203e-05 -1.146981e-04
2.302556e+07 2.998847e-05 -1.254090e-04
2.169668e+07 3.286514e-05 -1.370807e-04
2.044572e+07 3.607276e-05 -1.497433e-04
1.926782e+07 3.965676e-05 -1.635101e-04
1.815541e+07 4.366761e-05 -1.784356e-04
1.710864e+07 4.815904e-05 -1.946012e-04
1.612123e+07 5.319194e-05 -2.120793e-04
1.519064e+07 5.883316e-05 -2.309314e-04
1.431434e+07 6.515077e-05 -2.512285e-04
1.348800e+07 7.223894e-05 -2.730496e-04
1.271133e+07 8.016754e-05 -2.964082e-04
1.197748e+07 8.907549e-05 -3.214369e-04
1.128668e+07 9.904211e-05 -3.481211e-04
1.063603e+07 1.101982e-04 -3.765017e-04
1.002205e+07 1.226902e-04 -4.066303e-04
9.442871e+06 1.366616e-04 -4.385098e-04
8.896797e+06 1.522722e-04 -4.721715e-04
8.389262e+06 1.694167e-04 -5.070011e-04
7.905138e+06 1.886870e-04 -5.438369e-04
7.446016e+06 2.101999e-04 -5.823703e-04
7.017544e+06 2.337978e-04 -6.219265e-04
6.613757e+06 2.598542e-04 -6.627610e-04
6.230530e+06 2.887173e-04 -7.048261e-04
5.871991e+06 3.201928e-04 -7.475019e-04
5.534034e+06 3.545947e-04 -7.906828e-04
5.213764e+06 3.922790e-04 -8.343350e-04
4.914005e+06 4.329072e-04 -8.776582e-04
4.629630e+06 4.770972e-04 -9.208467e-04
4.363002e+06 5.244056e-04 -9.629942e-04
4.110152e+06 5.753897e-04 -1.004209e-03
3.874467e+06 6.291395e-04 -1.043389e-03
3.650968e+06 6.864577e-04 -1.080774e-03
3.439972e+06 7.470258e-04 -1.115773e-03
3.241491e+06 8.104602e-04 -1.147880e-03
3.054368e+06 8.766558e-04 -1.176775e-03
2.878526e+06 9.451140e-04 -1.202034e-03
2.712232e+06 1.015938e-03 -1.223507e-03
2.555584e+06 1.088497e-03 -1.240832e-03
2.408478e+06 1.162141e-03 -1.253781e-03
2.269632e+06 1.236794e-03 -1.262285e-03
2.138580e+06 1.312006e-03 -1.266252e-03
2.015316e+06 1.387039e-03 -1.265663e-03
1.898975e+06 1.461681e-03 -1.260578e-03
1.789549e+06 1.535205e-03 -1.251144e-03
1.686341e+06 1.607376e-03 -1.237527e-03
1.589067e+06 1.677726e-03 -1.219975e-03
1.497454e+06 1.745836e-03 -1.198793e-03
1.411034e+06 1.811483e-03 -1.174274e-03
1.329610e+06 1.874312e-03 -1.146803e-03
1.252976e+06 1.934034e-03 -1.116795e-03
1.180638e+06 1.990658e-03 -1.084549e-03
1.112595e+06 2.043875e-03 -1.050569e-03
1.048438e+06 2.093760e-03 -1.015159e-03
9.881423e+05 2.140149e-03 -9.788037e-04
9.310987e+05 2.183385e-03 -9.416024e-04
8.771930e+05 2.223463e-03 -9.039001e-04
8.264463e+05 2.260325e-03 -8.661272e-04
7.788162e+05 2.294004e-03 -8.286601e-04
7.342144e+05 2.324602e-03 -7.918170e-04
6.915629e+05 2.352894e-03 -7.550132e-04
6.518905e+05 2.378261e-03 -7.194261e-04
6.142506e+05 2.401395e-03 -6.844860e-04
5.787037e+05 2.422338e-03 -6.504700e-04
5.455537e+05 2.441019e-03 -6.178889e-04
5.138746e+05 2.458062e-03 -5.860110e-04
4.842615e+05 2.473244e-03 -5.555850e-04
4.564126e+05 2.486837e-03 -5.264442e-04
4.301075e+05 2.499047e-03 -4.984710e-04
4.051864e+05 2.510034e-03 -4.715871e-04
3.818251e+05 2.519805e-03 -4.460642e-04
3.598417e+05 2.528522e-03 -4.217767e-04
3.390980e+05 2.536314e-03 -3.986315e-04
3.194888e+05 2.543284e-03 -3.765604e-04
3.011141e+05 2.549461e-03 -3.557193e-04
2.837684e+05 2.554974e-03 -3.359121e-04
2.673797e+05 2.559897e-03 -3.170855e-04
2.519526e+05 2.564275e-03 -2.992700e-04
2.374169e+05 2.568170e-03 -2.824053e-04
2.237136e+05 2.571638e-03 -2.664405e-04
2.108370e+05 2.574714e-03 -2.513838e-04
1.986492e+05 2.577461e-03 -2.370864e-04
1.871958e+05 2.579896e-03 -2.236123e-04
1.763980e+05 2.582062e-03 -2.108774e-04
1.662234e+05 2.583987e-03 -1.988508e-04
1.566416e+05 2.585697e-03 -1.875025e-04
1.476015e+05 2.587218e-03 -1.767769e-04
1.391014e+05 2.588567e-03 -1.666764e-04
1.310788e+05 2.589767e-03 -1.571302e-04
1.235178e+05 2.590833e-03 -1.481224e-04
1.163873e+05 2.591781e-03 -1.396183e-04
1.096732e+05 2.592623e-03 -1.316031e-04
1.033485e+05 2.593370e-03 -1.240464e-04
9.737098e+04 2.594036e-03 -1.168992e-04
9.174312e+04 2.594627e-03 -1.101655e-04
8.650519e+04 2.595145e-03 -1.038947e-04
8.149959e+04 2.595612e-03 -9.789892e-05
7.680492e+04 2.596025e-03 -9.227296e-05
7.235890e+04 2.596393e-03 -8.694277e-05
6.816633e+04 2.596720e-03 -8.191458e-05
6.426735e+04 2.597007e-03 -7.723700e-05
6.053269e+04 2.597266e-03 -7.275526e-05
5.704507e+04 2.597494e-03 -6.856891e-05
5.376344e+04 2.597696e-03 -6.462892e-05
5.065856e+04 2.597876e-03 -6.090039e-05
4.773270e+04 2.598036e-03 -5.738621e-05
4.498426e+04 2.598178e-03 -5.408460e-05
4.239084e+04 2.598304e-03 -5.096879e-05
3.995206e+04 2.598415e-03 -4.803838e-05
3.765060e+04 2.598515e-03 -4.527268e-05
3.547357e+04 2.598603e-03 -4.265624e-05
3.342246e+04 2.598682e-03 -4.019093e-05
3.149606e+04 2.598751e-03 -3.787533e-05
2.968240e+04 2.598813e-03 -3.569510e-05
2.797203e+04 2.598868e-03 -3.363890e-05
2.635741e+04 2.598917e-03 -3.169772e-05
2.483855e+04 2.598960e-03 -2.987157e-05
2.340276e+04 2.598998e-03 -2.814523e-05
2.205558e+04 2.599032e-03 -2.652532e-05
2.037490e+04 2.599070e-03 -2.450460e-05
