freq ReP ImP
9.157509e+09 7.166812e-06 -1.082821e-05
8.090615e+09 7.928658e-06 -1.298916e-05
7.147963e+09 8.867597e-06 -1.542093e-05
6.321113e+09 1.002256e-05 -1.823813e-05
5.595971e+09 1.140218e-05 -2.135333e-05
4.952947e+09 1.307684e-05 -2.487580e-05
4.385965e+09 1.506748e-05 -2.875643e-05
3.885004e+09 1.742507e-05 -3.301898e-05
3.442341e+09 2.020118e-05 -3.767010e-05
3.050641e+09 2.346266e-05 -4.276509e-05
2.704164e+09 2.725537e-05 -4.824139e-05
2.397507e+09 3.162814e-05 -5.403554e-05
2.126302e+09 3.664834e-05 -6.020059e-05
1.885725e+09 4.236951e-05 -6.661510e-05
1.672520e+09 4.883295e-05 -7.321518e-05
1.483900e+09 5.607436e-05 -8.000852e-05
1.316482e+09 6.411985e-05 -8.680216e-05
1.168224e+09 7.296165e-05 -9.354216e-05
1.036592e+09 8.260816e-05 -1.001216e-04
9.199632e+08 9.304934e-05 -1.067132e-04
8.163265e+08 1.041505e-04 -1.126701e-04
7.246377e+08 1.158584e-04 -1.184214e-04
6.430868e+08 1.280683e-04 -1.235661e-04
5.711022e+08 1.407011e-04 -1.290037e-04
5.068424e+08 1.535920e-04 -1.336023e-04
4.498426e+08 1.666966e-04 -1.383644e-04
3.993610e+08 1.798295e-04 -1.430682e-04
3.546099e+08 1.931408e-04 -1.488474e-04
3.148615e+08 2.064588e-04 -1.546850e-04
2.794857e+08 2.200135e-04 -1.613177e-04
2.481390e+08 2.338659e-04 -1.689673e-04
2.203128e+08 2.482470e-04 -1.778772e-04
1.956182e+08 2.633657e-04 -1.882466e-04
1.736714e+08 2.793937e-04 -1.998463e-04
1.542020e+08 2.965579e-04 -2.132600e-04
1.369113e+08 3.149446e-04 -2.278489e-04
1.215658e+08 3.349528e-04 -2.446317e-04
1.079447e+08 3.568661e-04 -2.633176e-04
9.587728e+07 3.813484e-04 -2.855091e-04
8.510638e+07 4.082472e-04 -3.054794e-04
7.558579e+07 4.384187e-04 -3.275692e-04
6.711409e+07 4.726355e-04 -3.516346e-04
5.959476e+07 5.108596e-04 -3.769665e-04
5.291005e+07 5.515170e-04 -3.951420e-04
4.697041e+07 5.955111e-04 -4.142507e-04
4.171882e+07 6.413751e-04 -4.347035e-04
3.703704e+07 6.879198e-04 -4.538196e-04
3.288392e+07 7.334651e-04 -4.734529e-04
2.920561e+07 7.777828e-04 -5.005297e-04
2.593361e+07 8.205401e-04 -5.343823e-04
2.302556e+07 8.616887e-04 -5.744527e-04
2.044572e+07 9.032827e-04 -6.281603e-04
1.815541e+07 9.472630e-04 -6.988931e-04
1.612123e+07 9.952377e-04 -7.900992e-04
1.431434e+07 1.046787e-03 -8.978023e-04
1.271133e+07 1.102487e-03 -1.035599e-03
1.128668e+07 1.155200e-03 -1.206124e-03
1.002205e+07 1.183394e-03 -1.433780e-03
8.896797e+06 1.044916e-03 -1.809046e-03
7.905138e+06 9.296065e-04 -2.418261e-03
7.017544e+06 8.580212e-04 -3.170016e-03
6.230530e+06 8.863467e-04 -4.129128e-03
5.534034e+06 9.901336e-04 -5.339154e-03
4.914005e+06 1.114178e-03 -6.742068e-03
4.363002e+06 1.273029e-03 -8.492112e-03
3.874467e+06 1.454553e-03 -1.067961e-02
3.439972e+06 1.639139e-03 -1.336121e-02
3.054368e+06 1.838562e-03 -1.676650e-02
2.712232e+06 2.042459e-03 -2.105438e-02
2.408478e+06 2.255026e-03 -2.646619e-02
2.138580e+06 2.565062e-03 -3.326348e-02
