 t Vext Jext errJ Jint  G_frac QLFSL1 QLFSL2 QLFSL3 JphotoL1 JphotoL2 JphotoL3 JdirL1 JdirL2 JdirL3 JbulkElecL1 JbulkElecL2 JbulkElecL3 JbulkHolesL1 JbulkHolesL2 JbulkHolesL3 JintElecL1L2 JintElecL2L3 JintHolesL1L2 JintHolesL2L3 JminLeft JminRight JShunt Jnion Jpion JD PL
 0.00000000000000000000E+0000  0.00000000000000000000E+0000  6.58297892720524497729E-0005  4.52919148803276016527E-0005  6.58297892720524497729E-0005  1.00000000000000000000E+0000  1.40085941548288049271E+0000  1.74595848262357989538E+0000  1.35803845111448043520E+0000  0.00000000000000000000E+0000  2.23269675379811485205E+0002  0.00000000000000000000E+0000  9.35091473862843505069E-0037  2.19644948137053081502E+0002  5.25359855458795481884E-0030  0.00000000000000000000E+0000  0.00000000000000000000E+0000  0.00000000000000000000E+0000  0.00000000000000000000E+0000  0.00000000000000000000E+0000  0.00000000000000000000E+0000  0.00000000000000000000E+0000  0.00000000000000000000E+0000  0.00000000000000000000E+0000  0.00000000000000000000E+0000  8.06866854566055071638E-0012 -3.25534651123776026783E+0000  0.00000000000000000000E+0000  0.00000000000000000000E+0000  0.00000000000000000000E+0000  0.00000000000000000000E+0000 219.6449481370531
 9.99999999999999999990E-0014  0.00000000000000000000E+0000 -3.10687448202015823802E-0002  1.56993358674466665736E-0003 -3.10687448202015823802E-0002  1.04999999999999999996E+0000  1.40084944185539911267E+0000  1.74595848262848804631E+0000  1.35803201171120514919E+0000  0.00000000000000000000E+0000  2.34433159148802059510E+0002  0.00000000000000000000E+0000  9.35091272587418425876E-0037  2.19644958695731529849E+0002  5.25359883917724500985E-0030  0.00000000000000000000E+0000  0.00000000000000000000E+0000  0.00000000000000000000E+0000  0.00000000000000000000E+0000  0.00000000000000000000E+0000  0.00000000000000000000E+0000  0.00000000000000000000E+0000  0.00000000000000000000E+0000  0.00000000000000000000E+0000  0.00000000000000000000E+0000  1.08620181396469008171E-0003 -1.34315485338468700079E+0001  0.00000000000000000000E+0000  0.00000000000000000000E+0000  0.00000000000000000000E+0000  6.66402554981664613658E-0005 219.64495869573153
 2.02000000000000000006E-0013  0.00000000000000000000E+0000 -2.94529745029362792463E-0002  2.24906801848488155953E-0003 -2.94529745029362792463E-0002  1.04999999999999999996E+0000  1.40082999507999672302E+0000  1.74595848263805020803E+0000  1.35801946049264270970E+0000  0.00000000000000000000E+0000  2.34433159148802059510E+0002  0.00000000000000000000E+0000  9.35091271264891403314E-0037  2.19644958787507840206E+0002  5.25359883454152147801E-0030  0.00000000000000000000E+0000  0.00000000000000000000E+0000  0.00000000000000000000E+0000  0.00000000000000000000E+0000  0.00000000000000000000E+0000  0.00000000000000000000E+0000  0.00000000000000000000E+0000  0.00000000000000000000E+0000  0.00000000000000000000E+0000  0.00000000000000000000E+0000  9.88487094088275973056E-0004 -1.25162452369912583910E+0001  0.00000000000000000000E+0000  0.00000000000000000000E+0000  0.00000000000000000000E+0000  2.79807137845586940898E-0004 219.64495878750785
 3.05999999999999999989E-0013  0.00000000000000000000E+0000 -2.78545929680474280687E-0002  2.48738364359538370104E-0003 -2.78545929680474280687E-0002  1.04999999999999999996E+0000  1.40080155138203527466E+0000  1.74595848265202698577E+0000  1.35800110676289716464E+0000  0.00000000000000000000E+0000  2.34433159148802059510E+0002  0.00000000000000000000E+0000  9.35091269377659679631E-0037  2.19644958919929111432E+0002  5.25359882800337088589E-0030  0.00000000000000000000E+0000  0.00000000000000000000E+0000  0.00000000000000000000E+0000  0.00000000000000000000E+0000  0.00000000000000000000E+0000  0.00000000000000000000E+0000  0.00000000000000000000E+0000  0.00000000000000000000E+0000  0.00000000000000000000E+0000  0.00000000000000000000E+0000  8.99562786048851047472E-0004 -1.16832813180013666597E+0001  0.00000000000000000000E+0000  0.00000000000000000000E+0000  0.00000000000000000000E+0000  6.00195151926969593059E-0004 219.6449589199291
 4.12200000000000000012E-0013  0.00000000000000000000E+0000 -2.63048817552896133004E-0002  2.50795458964464919856E-0003 -2.63048817552896133004E-0002  1.04999999999999999996E+0000  1.40076449416797195653E+0000  1.74595848267022739472E+0000  1.35797719730550521262E+0000  0.00000000000000000000E+0000  2.34433159148802059510E+0002  0.00000000000000000000E+0000  9.35091266978652887221E-0037  2.19644959091169350282E+0002  5.25359881983301039775E-0030  0.00000000000000000000E+0000  0.00000000000000000000E+0000  0.00000000000000000000E+0000  0.00000000000000000000E+0000  0.00000000000000000000E+0000  0.00000000000000000000E+0000  0.00000000000000000000E+0000  0.00000000000000000000E+0000  0.00000000000000000000E+0000  0.00000000000000000000E+0000  8.18638104500886545536E-0004 -1.09252489859608199786E+0001  0.00000000000000000000E+0000  0.00000000000000000000E+0000  0.00000000000000000000E+0000  9.84648070349394566630E-0004 219.6449590911693
 5.20400000000000000019E-0013  0.00000000000000000000E+0000 -2.48332004852478291127E-0002  2.42627884587594579801E-0003 -2.48332004852478291127E-0002  1.04999999999999999996E+0000  1.40071930940121361050E+0000  1.74595848269241215504E+0000  1.35794804298120133710E+0000  0.00000000000000000000E+0000  2.34433159148802059510E+0002  0.00000000000000000000E+0000  9.35091264131878343812E-0037  2.19644959299165774366E+0002  5.25359881034353880788E-0030  0.00000000000000000000E+0000  0.00000000000000000000E+0000  0.00000000000000000000E+0000  0.00000000000000000000E+0000  0.00000000000000000000E+0000  0.00000000000000000000E+0000  0.00000000000000000000E+0000  0.00000000000000000000E+0000  0.00000000000000000000E+0000  0.00000000000000000000E+0000  7.44993403231578350984E-0004 -1.02354069012201815249E+0001  0.00000000000000000000E+0000  0.00000000000000000000E+0000  0.00000000000000000000E+0000  1.39307151358379409103E-0003 219.64495929916575
 6.30799999999999999979E-0013  0.00000000000000000000E+0000 -2.34577514896351087774E-0002  2.30262876357327504529E-0003 -2.34577514896351087774E-0002  1.04999999999999999996E+0000  1.40066631092291890820E+0000  1.74595848271842895530E+0000  1.35791384121776580326E+0000  0.00000000000000000000E+0000  2.34433159148802059510E+0002  0.00000000000000000000E+0000  9.35091260900328990933E-0037  2.19644959542384584597E+0002  5.25359879983502405380E-0030  0.00000000000000000000E+0000  0.00000000000000000000E+0000  0.00000000000000000000E+0000  0.00000000000000000000E+0000  0.00000000000000000000E+0000  0.00000000000000000000E+0000  0.00000000000000000000E+0000  0.00000000000000000000E+0000  0.00000000000000000000E+0000  0.00000000000000000000E+0000  6.77973775311848717090E-0004 -9.60762017305279919510E+0000  0.00000000000000000000E+0000  0.00000000000000000000E+0000  0.00000000000000000000E+0000  1.79751556566134505363E-0003 219.64495954238456
 7.43399999999999999992E-0013  0.00000000000000000000E+0000 -2.21821936152775968761E-0002  2.16945115670382715422E-0003 -2.21821936152775968761E-0002  1.04999999999999999996E+0000  1.40060586496273436813E+0000  1.74595848274810183567E+0000  1.35787482111664699065E+0000  0.00000000000000000000E+0000  2.34433159148802059510E+0002  0.00000000000000000000E+0000  9.35091257354912495183E-0037  2.19644959819270688503E+0002  5.25359878861515854346E-0030  0.00000000000000000000E+0000  0.00000000000000000000E+0000  0.00000000000000000000E+0000  0.00000000000000000000E+0000  0.00000000000000000000E+0000  0.00000000000000000000E+0000  0.00000000000000000000E+0000  0.00000000000000000000E+0000  0.00000000000000000000E+0000  0.00000000000000000000E+0000  6.16983229309845185836E-0004 -9.03630583370943762586E+0000  0.00000000000000000000E+0000  0.00000000000000000000E+0000  0.00000000000000000000E+0000  2.18550958152781129471E-0003 219.64495981927067
 8.58300000000000000006E-0013  0.00000000000000000000E+0000 -2.10014600997684046445E-0002  2.04606560482361251645E-0003 -2.10014600997684046445E-0002  1.04999999999999999996E+0000  1.40053826245493538434E+0000  1.74595848278129393881E+0000  1.35783116098289614003E+0000  0.00000000000000000000E+0000  2.34433159148802059510E+0002  0.00000000000000000000E+0000  9.35091253569477002678E-0037  2.19644960128538104305E+0002  5.25359877697034879964E-0030  0.00000000000000000000E+0000  0.00000000000000000000E+0000  0.00000000000000000000E+0000  0.00000000000000000000E+0000  0.00000000000000000000E+0000  0.00000000000000000000E+0000  0.00000000000000000000E+0000  0.00000000000000000000E+0000  0.00000000000000000000E+0000  0.00000000000000000000E+0000  5.61479389110162519661E-0004 -8.51638316916821804751E+0000  0.00000000000000000000E+0000  0.00000000000000000000E+0000  0.00000000000000000000E+0000  2.55414373343349763449E-0003 219.6449601285381
 9.75499999999999999972E-0013  0.00000000000000000000E+0000 -1.99063622363740391327E-0002  1.93924902384013437667E-0003 -1.99063622363740391327E-0002  1.04999999999999999996E+0000  1.40046382790448483899E+0000  1.74595848281785391803E+0000  1.35778305868226861785E+0000  0.00000000000000000000E+0000  2.34433159148802059510E+0002  0.00000000000000000000E+0000  9.35091249625772362623E-0037  2.19644960468817016477E+0002  5.25359876517224567162E-0030  0.00000000000000000000E+0000  0.00000000000000000000E+0000  0.00000000000000000000E+0000  0.00000000000000000000E+0000  0.00000000000000000000E+0000  0.00000000000000000000E+0000  0.00000000000000000000E+0000  0.00000000000000000000E+0000  0.00000000000000000000E+0000  0.00000000000000000000E+0000  5.10968670811585090693E-0004 -8.04322854643509072090E+0000  0.00000000000000000000E+0000  0.00000000000000000000E+0000  0.00000000000000000000E+0000  2.90540142787975034556E-0003 219.644960468817
 1.09499999999999999999E-0012  0.00000000000000000000E+0000 -1.88884102502167095856E-0002  1.84789643011583038943E-0003 -1.88884102502167095856E-0002  1.04999999999999999996E+0000  1.40038287207449994496E+0000  1.74595848285763916095E+0000  1.35773070109589192721E+0000  0.00000000000000000000E+0000  2.34433159148802059510E+0002  0.00000000000000000000E+0000  9.35091245610749084792E-0037  2.19644960838789352578E+0002  5.25359875346143847009E-0030  0.00000000000000000000E+0000  0.00000000000000000000E+0000  0.00000000000000000000E+0000  0.00000000000000000000E+0000  0.00000000000000000000E+0000  0.00000000000000000000E+0000  0.00000000000000000000E+0000  0.00000000000000000000E+0000  0.00000000000000000000E+0000  0.00000000000000000000E+0000  4.65001893299307940313E-0004 -7.61263428938141269511E+0000  0.00000000000000000000E+0000  0.00000000000000000000E+0000  0.00000000000000000000E+0000  3.24126539303002700514E-0003 219.64496083878933
