t Vext G_frac
1.614e-10 0.0 1.050e+00
1.647e-10 0.0 1.050e+00
1.681e-10 0.0 1.050e+00
1.716e-10 0.0 1.050e+00
1.751e-10 0.0 1.050e+00
1.787e-10 0.0 1.050e+00
1.824e-10 0.0 1.050e+00
1.862e-10 0.0 1.050e+00
1.900e-10 0.0 1.050e+00
1.939e-10 0.0 1.050e+00
1.979e-10 0.0 1.050e+00
2.019e-10 0.0 1.050e+00
2.061e-10 0.0 1.050e+00
2.103e-10 0.0 1.050e+00
2.146e-10 0.0 1.050e+00
2.190e-10 0.0 1.050e+00
2.235e-10 0.0 1.050e+00
2.280e-10 0.0 1.050e+00
2.327e-10 0.0 1.050e+00
2.374e-10 0.0 1.050e+00
2.423e-10 0.0 1.050e+00
2.472e-10 0.0 1.050e+00
2.523e-10 0.0 1.050e+00
2.574e-10 0.0 1.050e+00
2.627e-10 0.0 1.050e+00
2.680e-10 0.0 1.050e+00
2.735e-10 0.0 1.050e+00
2.791e-10 0.0 1.050e+00
2.847e-10 0.0 1.050e+00
2.905e-10 0.0 1.050e+00
2.964e-10 0.0 1.050e+00
3.025e-10 0.0 1.050e+00
3.086e-10 0.0 1.050e+00
3.149e-10 0.0 1.050e+00
3.213e-10 0.0 1.050e+00
3.278e-10 0.0 1.050e+00
3.345e-10 0.0 1.050e+00
3.413e-10 0.0 1.050e+00
3.482e-10 0.0 1.050e+00
3.553e-10 0.0 1.050e+00
3.625e-10 0.0 1.050e+00
3.698e-10 0.0 1.050e+00
3.773e-10 0.0 1.050e+00
3.849e-10 0.0 1.050e+00
3.927e-10 0.0 1.050e+00
4.007e-10 0.0 1.050e+00
4.088e-10 0.0 1.050e+00
4.171e-10 0.0 1.050e+00
4.255e-10 0.0 1.050e+00
4.341e-10 0.0 1.050e+00
4.429e-10 0.0 1.050e+00
4.519e-10 0.0 1.050e+00
4.610e-10 0.0 1.050e+00
4.703e-10 0.0 1.050e+00
4.799e-10 0.0 1.050e+00
4.895e-10 0.0 1.050e+00
4.994e-10 0.0 1.050e+00
5.095e-10 0.0 1.050e+00
5.198e-10 0.0 1.050e+00
5.303e-10 0.0 1.050e+00
5.410e-10 0.0 1.050e+00
5.519e-10 0.0 1.050e+00
5.631e-10 0.0 1.050e+00
5.744e-10 0.0 1.050e+00
5.860e-10 0.0 1.050e+00
5.979e-10 0.0 1.050e+00
6.099e-10 0.0 1.050e+00
6.222e-10 0.0 1.050e+00
6.348e-10 0.0 1.050e+00
6.475e-10 0.0 1.050e+00
6.606e-10 0.0 1.050e+00
6.739e-10 0.0 1.050e+00
6.875e-10 0.0 1.050e+00
7.013e-10 0.0 1.050e+00
7.155e-10 0.0 1.050e+00
7.299e-10 0.0 1.050e+00
7.446e-10 0.0 1.050e+00
7.596e-10 0.0 1.050e+00
7.749e-10 0.0 1.050e+00
7.905e-10 0.0 1.050e+00
8.064e-10 0.0 1.050e+00
8.226e-10 0.0 1.050e+00
8.391e-10 0.0 1.050e+00
8.560e-10 0.0 1.050e+00
8.732e-10 0.0 1.050e+00
8.908e-10 0.0 1.050e+00
9.087e-10 0.0 1.050e+00
9.270e-10 0.0 1.050e+00
9.456e-10 0.0 1.050e+00
9.647e-10 0.0 1.050e+00
9.840e-10 0.0 1.050e+00
1.004e-09 0.0 1.050e+00
1.024e-09 0.0 1.050e+00
1.045e-09 0.0 1.050e+00
1.066e-09 0.0 1.050e+00
1.087e-09 0.0 1.050e+00
1.109e-09 0.0 1.050e+00
1.131e-09 0.0 1.050e+00
1.154e-09 0.0 1.050e+00
1.177e-09 0.0 1.050e+00
1.201e-09 0.0 1.050e+00
1.225e-09 0.0 1.050e+00
1.249e-09 0.0 1.050e+00
1.274e-09 0.0 1.050e+00
1.300e-09 0.0 1.050e+00
1.326e-09 0.0 1.050e+00
1.353e-09 0.0 1.050e+00
1.380e-09 0.0 1.050e+00
1.408e-09 0.0 1.050e+00
1.436e-09 0.0 1.050e+00
1.465e-09 0.0 1.050e+00
1.494e-09 0.0 1.050e+00
1.524e-09 0.0 1.050e+00
1.555e-09 0.0 1.050e+00
1.586e-09 0.0 1.050e+00
1.618e-09 0.0 1.050e+00
1.650e-09 0.0 1.050e+00
1.683e-09 0.0 1.050e+00
1.717e-09 0.0 1.050e+00
1.751e-09 0.0 1.050e+00
1.787e-09 0.0 1.050e+00
1.822e-09 0.0 1.050e+00
1.859e-09 0.0 1.050e+00
1.896e-09 0.0 1.050e+00
1.934e-09 0.0 1.050e+00
1.973e-09 0.0 1.050e+00
2.013e-09 0.0 1.050e+00
2.053e-09 0.0 1.050e+00
2.094e-09 0.0 1.050e+00
2.136e-09 0.0 1.050e+00
2.179e-09 0.0 1.050e+00
2.223e-09 0.0 1.050e+00
2.267e-09 0.0 1.050e+00
2.313e-09 0.0 1.050e+00
2.359e-09 0.0 1.050e+00
2.406e-09 0.0 1.050e+00
2.454e-09 0.0 1.050e+00
2.504e-09 0.0 1.050e+00
2.554e-09 0.0 1.050e+00
2.605e-09 0.0 1.050e+00
2.657e-09 0.0 1.050e+00
2.710e-09 0.0 1.050e+00
2.765e-09 0.0 1.050e+00
2.820e-09 0.0 1.050e+00
2.877e-09 0.0 1.050e+00
2.934e-09 0.0 1.050e+00
2.993e-09 0.0 1.050e+00
3.053e-09 0.0 1.050e+00
3.114e-09 0.0 1.050e+00
3.176e-09 0.0 1.050e+00
3.240e-09 0.0 1.050e+00
3.305e-09 0.0 1.050e+00
3.371e-09 0.0 1.050e+00
3.439e-09 0.0 1.050e+00
3.508e-09 0.0 1.050e+00
3.578e-09 0.0 1.050e+00
3.649e-09 0.0 1.050e+00
3.723e-09 0.0 1.050e+00
3.797e-09 0.0 1.050e+00
3.873e-09 0.0 1.050e+00
3.951e-09 0.0 1.050e+00
4.030e-09 0.0 1.050e+00
4.111e-09 0.0 1.050e+00
4.193e-09 0.0 1.050e+00
4.277e-09 0.0 1.050e+00
4.362e-09 0.0 1.050e+00
4.450e-09 0.0 1.050e+00
4.539e-09 0.0 1.050e+00
4.630e-09 0.0 1.050e+00
4.722e-09 0.0 1.050e+00
4.817e-09 0.0 1.050e+00
4.913e-09 0.0 1.050e+00
5.012e-09 0.0 1.050e+00
5.112e-09 0.0 1.050e+00
5.215e-09 0.0 1.050e+00
5.319e-09 0.0 1.050e+00
5.425e-09 0.0 1.050e+00
5.534e-09 0.0 1.050e+00
5.645e-09 0.0 1.050e+00
5.758e-09 0.0 1.050e+00
5.873e-09 0.0 1.050e+00
5.991e-09 0.0 1.050e+00
6.110e-09 0.0 1.050e+00
6.233e-09 0.0 1.050e+00
6.358e-09 0.0 1.050e+00
6.485e-09 0.0 1.050e+00
6.615e-09 0.0 1.050e+00
6.747e-09 0.0 1.050e+00
6.882e-09 0.0 1.050e+00
7.020e-09 0.0 1.050e+00
7.160e-09 0.0 1.050e+00
7.304e-09 0.0 1.050e+00
7.450e-09 0.0 1.050e+00
7.599e-09 0.0 1.050e+00
7.751e-09 0.0 1.050e+00
7.906e-09 0.0 1.050e+00
8.064e-09 0.0 1.050e+00
8.226e-09 0.0 1.050e+00
8.390e-09 0.0 1.050e+00
8.558e-09 0.0 1.050e+00
8.729e-09 0.0 1.050e+00
8.904e-09 0.0 1.050e+00
9.082e-09 0.0 1.050e+00
9.264e-09 0.0 1.050e+00
9.449e-09 0.0 1.050e+00
9.639e-09 0.0 1.050e+00
9.831e-09 0.0 1.050e+00
1.003e-08 0.0 1.050e+00
1.023e-08 0.0 1.050e+00
1.043e-08 0.0 1.050e+00
1.064e-08 0.0 1.050e+00
1.086e-08 0.0 1.050e+00
1.107e-08 0.0 1.050e+00
1.129e-08 0.0 1.050e+00
1.152e-08 0.0 1.050e+00
1.175e-08 0.0 1.050e+00
1.199e-08 0.0 1.050e+00
1.223e-08 0.0 1.050e+00
1.247e-08 0.0 1.050e+00
1.272e-08 0.0 1.050e+00
1.297e-08 0.0 1.050e+00
1.323e-08 0.0 1.050e+00
1.350e-08 0.0 1.050e+00
1.377e-08 0.0 1.050e+00
1.404e-08 0.0 1.050e+00
1.432e-08 0.0 1.050e+00
1.461e-08 0.0 1.050e+00
1.490e-08 0.0 1.050e+00
1.520e-08 0.0 1.050e+00
1.551e-08 0.0 1.050e+00
1.582e-08 0.0 1.050e+00
1.613e-08 0.0 1.050e+00
1.646e-08 0.0 1.050e+00
1.678e-08 0.0 1.050e+00
1.712e-08 0.0 1.050e+00
1.746e-08 0.0 1.050e+00
1.781e-08 0.0 1.050e+00
1.817e-08 0.0 1.050e+00
1.853e-08 0.0 1.050e+00
1.890e-08 0.0 1.050e+00
1.928e-08 0.0 1.050e+00
1.967e-08 0.0 1.050e+00
2.006e-08 0.0 1.050e+00
2.046e-08 0.0 1.050e+00
2.087e-08 0.0 1.050e+00
2.129e-08 0.0 1.050e+00
2.171e-08 0.0 1.050e+00
2.215e-08 0.0 1.050e+00
2.259e-08 0.0 1.050e+00
2.304e-08 0.0 1.050e+00
2.350e-08 0.0 1.050e+00
2.397e-08 0.0 1.050e+00
2.445e-08 0.0 1.050e+00
2.494e-08 0.0 1.050e+00
2.544e-08 0.0 1.050e+00
2.595e-08 0.0 1.050e+00
2.647e-08 0.0 1.050e+00
2.700e-08 0.0 1.050e+00
2.754e-08 0.0 1.050e+00
2.809e-08 0.0 1.050e+00
2.865e-08 0.0 1.050e+00
2.923e-08 0.0 1.050e+00
2.981e-08 0.0 1.050e+00
3.041e-08 0.0 1.050e+00
3.102e-08 0.0 1.050e+00
3.164e-08 0.0 1.050e+00
3.227e-08 0.0 1.050e+00
3.291e-08 0.0 1.050e+00
3.357e-08 0.0 1.050e+00
3.424e-08 0.0 1.050e+00
3.493e-08 0.0 1.050e+00
3.563e-08 0.0 1.050e+00
3.634e-08 0.0 1.050e+00
3.707e-08 0.0 1.050e+00
3.781e-08 0.0 1.050e+00
3.856e-08 0.0 1.050e+00
3.934e-08 0.0 1.050e+00
4.012e-08 0.0 1.050e+00
4.093e-08 0.0 1.050e+00
4.174e-08 0.0 1.050e+00
4.258e-08 0.0 1.050e+00
4.343e-08 0.0 1.050e+00
4.430e-08 0.0 1.050e+00
4.519e-08 0.0 1.050e+00
4.609e-08 0.0 1.050e+00
4.701e-08 0.0 1.050e+00
4.795e-08 0.0 1.050e+00
4.891e-08 0.0 1.050e+00
4.989e-08 0.0 1.050e+00
5.089e-08 0.0 1.050e+00
5.190e-08 0.0 1.050e+00
5.294e-08 0.0 1.050e+00
5.400e-08 0.0 1.050e+00
5.508e-08 0.0 1.050e+00
5.618e-08 0.0 1.050e+00
5.731e-08 0.0 1.050e+00
5.845e-08 0.0 1.050e+00
5.962e-08 0.0 1.050e+00
6.082e-08 0.0 1.050e+00
6.203e-08 0.0 1.050e+00
6.327e-08 0.0 1.050e+00
6.454e-08 0.0 1.050e+00
6.583e-08 0.0 1.050e+00
6.715e-08 0.0 1.050e+00
6.849e-08 0.0 1.050e+00
6.986e-08 0.0 1.050e+00
7.126e-08 0.0 1.050e+00
7.268e-08 0.0 1.050e+00
7.414e-08 0.0 1.050e+00
7.562e-08 0.0 1.050e+00
7.713e-08 0.0 1.050e+00
7.867e-08 0.0 1.050e+00
8.025e-08 0.0 1.050e+00
8.185e-08 0.0 1.050e+00
8.349e-08 0.0 1.050e+00
8.516e-08 0.0 1.050e+00
8.686e-08 0.0 1.050e+00
8.860e-08 0.0 1.050e+00
9.037e-08 0.0 1.050e+00
9.218e-08 0.0 1.050e+00
9.402e-08 0.0 1.050e+00
9.590e-08 0.0 1.050e+00
9.782e-08 0.0 1.050e+00
9.978e-08 0.0 1.050e+00
1.018e-07 0.0 1.050e+00
1.038e-07 0.0 1.050e+00
1.059e-07 0.0 1.050e+00
1.080e-07 0.0 1.050e+00
