freq ReZ ImZ ReErrZ ImErrZ C G errC errG
5.291005e+03 4.651466e-02 -3.643381e-02 5.069564e-04 1.063371e-04 3.139296e-04 1.332403e+01 1.660937e-06 1.887799e-02
4.697041e+03 5.059828e-02 -3.518195e-02 4.762807e-04 1.571846e-04 3.138816e-04 1.332250e+01 1.384837e-06 2.789856e-02
4.171882e+03 5.434569e-02 -3.355794e-02 4.369327e-04 1.981707e-04 3.138102e-04 1.332136e+01 1.127874e-06 3.516712e-02
3.703704e+03 5.773176e-02 -3.163978e-02 3.920259e-04 2.284729e-04 3.137078e-04 1.332057e+01 8.978038e-07 4.053966e-02
3.288392e+03 6.071162e-02 -2.952952e-02 3.450321e-04 2.479493e-04 3.135659e-04 1.332011e+01 7.009397e-07 4.399245e-02
2.920561e+03 6.328066e-02 -2.731974e-02 2.987781e-04 2.575969e-04 3.133739e-04 1.331997e+01 5.384190e-07 4.570327e-02
2.593361e+03 6.546874e-02 -2.507688e-02 2.550732e-04 2.590076e-04 3.131170e-04 1.332017e+01 4.074937e-07 4.595496e-02
2.302556e+03 6.730425e-02 -2.286339e-02 2.152350e-04 2.539101e-04 3.127778e-04 1.332073e+01 3.046314e-07 4.505425e-02
2.044572e+03 6.882238e-02 -2.072887e-02 1.799765e-04 2.440418e-04 3.123358e-04 1.332165e+01 2.255493e-07 4.330920e-02
1.815541e+03 7.006567e-02 -1.870328e-02 1.494213e-04 2.309420e-04 3.117654e-04 1.332297e+01 1.656739e-07 4.099259e-02
1.612123e+03 7.107484e-02 -1.680525e-02 1.233790e-04 2.158789e-04 3.110355e-04 1.332474e+01 1.209036e-07 3.832904e-02
1.431434e+03 7.188705e-02 -1.504472e-02 1.014754e-04 1.998465e-04 3.101092e-04 1.332700e+01 8.776905e-08 3.549452e-02
1.271133e+03 7.253449e-02 -1.342686e-02 8.326438e-05 1.836067e-04 3.089459e-04 1.332979e+01 6.347386e-08 3.262385e-02
