freq ReZ ImZ ReErrZ ImErrZ C G errC errG
5.291005e+03 3.968856e-02 -9.670761e-02 1.109941e-03 1.375384e-03 2.662074e-04 3.631974e+00 2.614919e-06 1.814301e-02
4.697041e+03 4.840098e-02 -1.048836e-01 1.331375e-03 1.399481e-03 2.663438e-04 3.627381e+00 2.787339e-06 1.841422e-02
4.171882e+03 5.851152e-02 -1.128107e-01 1.571519e-03 1.384761e-03 2.664833e-04 3.623038e+00 2.925306e-06 1.817694e-02
3.703704e+03 7.014175e-02 -1.202585e-01 1.823508e-03 1.321916e-03 2.666255e-04 3.618918e+00 3.016666e-06 1.731257e-02
3.288392e+03 8.320203e-02 -1.268577e-01 2.073341e-03 1.204057e-03 2.667680e-04 3.615049e+00 3.048610e-06 1.573531e-02
2.920561e+03 9.752291e-02 -1.322616e-01 2.304459e-03 1.028895e-03 2.669083e-04 3.611446e+00 3.012583e-06 1.341941e-02
2.593361e+03 1.129197e-01 -1.361811e-01 2.500109e-03 7.988058e-04 2.670441e-04 3.608101e+00 2.905146e-06 1.039917e-02
2.302556e+03 1.290428e-01 -1.383590e-01 2.643168e-03 5.234477e-04 2.671725e-04 3.605026e+00 2.729596e-06 6.802838e-03
2.044572e+03 1.454478e-01 -1.386436e-01 2.720452e-03 2.191203e-04 2.672898e-04 3.602233e+00 2.496824e-06 2.843323e-03
1.815541e+03 1.616980e-01 -1.370156e-01 2.725615e-03 9.449711e-05 2.673924e-04 3.599727e+00 2.223046e-06 1.224497e-03
1.612123e+03 1.773691e-01 -1.335795e-01 2.659757e-03 3.967665e-04 2.674766e-04 3.597511e+00 1.927489e-06 5.134985e-03
1.431434e+03 1.920902e-01 -1.285504e-01 2.531054e-03 6.692400e-04 2.675389e-04 3.595588e+00 1.629396e-06 8.652104e-03
1.271133e+03 2.055618e-01 -1.222325e-01 2.353193e-03 8.979718e-04 2.675759e-04 3.593962e+00 1.345620e-06 1.159871e-02
1.128668e+03 2.176304e-01 -1.149520e-01 2.141929e-03 1.075770e-03 2.675857e-04 3.592628e+00 1.087620e-06 1.388493e-02
1.002205e+03 2.282065e-01 -1.070563e-01 1.913501e-03 1.200689e-03 2.675677e-04 3.591583e+00 8.626453e-07 1.548824e-02
8.896797e+02 2.373250e-01 -9.883847e-02 1.681363e-03 1.275950e-03 2.675236e-04 3.590817e+00 6.726657e-07 1.645205e-02
7.905138e+02 2.449859e-01 -9.064752e-02 1.458664e-03 1.307374e-03 2.674600e-04 3.590322e+00 5.182777e-07 1.685260e-02
