freq ReP ImP
2.448580e+03 1.095654e+01 -5.359804e-01
2.173913e+03 1.096207e+01 -4.760961e-01
1.930502e+03 1.096643e+01 -4.229549e-01
1.714090e+03 1.096987e+01 -3.756581e-01
1.522302e+03 1.097258e+01 -3.337079e-01
1.351717e+03 1.097472e+01 -2.963709e-01
1.200192e+03 1.097641e+01 -2.631886e-01
1.065757e+03 1.097775e+01 -2.337367e-01
9.460738e+02 1.097880e+01 -2.075081e-01
8.403361e+02 1.097962e+01 -1.843297e-01
7.462687e+02 1.098028e+01 -1.637055e-01
6.626905e+02 1.098079e+01 -1.453781e-01
5.882353e+02 1.098120e+01 -1.290492e-01
5.224660e+02 1.098152e+01 -1.146238e-01
4.640371e+02 1.098177e+01 -1.018074e-01
4.120313e+02 1.098197e+01 -9.039923e-02
3.657644e+02 1.098213e+01 -8.024948e-02
3.247808e+02 1.098225e+01 -7.125838e-02
2.884338e+02 1.098235e+01 -6.328424e-02
2.561475e+02 1.098243e+01 -5.620081e-02
2.274278e+02 1.098249e+01 -4.989977e-02
2.019386e+02 1.098254e+01 -4.430739e-02
1.793400e+02 1.098257e+01 -3.934914e-02
1.592357e+02 1.098260e+01 -3.493815e-02
1.414027e+02 1.098263e+01 -3.102548e-02
1.255650e+02 1.098264e+01 -2.755051e-02
1.114951e+02 1.098266e+01 -2.446344e-02
9.900990e+01 1.098267e+01 -2.172406e-02
8.787346e+01 1.098268e+01 -1.928058e-02
7.806401e+01 1.098269e+01 -1.712826e-02
6.930007e+01 1.098269e+01 -1.520535e-02
6.153846e+01 1.098270e+01 -1.350237e-02
5.464481e+01 1.098270e+01 -1.198980e-02
4.854369e+01 1.098270e+01 -1.065113e-02
4.310345e+01 1.098271e+01 -9.457481e-03
3.827019e+01 1.098271e+01 -8.397003e-03
3.397893e+01 1.098271e+01 -7.455439e-03
3.017502e+01 1.098271e+01 -6.620811e-03
2.679528e+01 1.098271e+01 -5.879253e-03
2.379253e+01 1.098271e+01 -5.220408e-03
2.112825e+01 1.098271e+01 -4.635825e-03
1.875821e+01 1.098271e+01 -4.115806e-03
1.665834e+01 1.098271e+01 -3.655068e-03
1.479290e+01 1.098271e+01 -3.245764e-03
1.313543e+01 1.098271e+01 -2.882090e-03
1.166317e+01 1.098271e+01 -2.559057e-03
1.035626e+01 1.098271e+01 -2.272303e-03
9.199632e+00 1.098271e+01 -2.018524e-03
8.163265e+00 1.098271e+01 -1.791132e-03
7.251632e+00 1.098271e+01 -1.591108e-03
6.439150e+00 1.098271e+01 -1.412838e-03
5.717553e+00 1.098271e+01 -1.254510e-03
5.076142e+00 1.098271e+01 -1.113775e-03
4.508566e+00 1.098271e+01 -9.892411e-04
4.003203e+00 1.098271e+01 -8.783583e-04
3.554924e+00 1.098271e+01 -7.800009e-04
3.156566e+00 1.098271e+01 -6.925962e-04
2.802691e+00 1.098271e+01 -6.149509e-04
2.488800e+00 1.098271e+01 -5.460781e-04
2.209945e+00 1.098271e+01 -4.848927e-04
1.962323e+00 1.098271e+01 -4.305601e-04
1.742768e+00 1.098271e+01 -3.823854e-04
1.547509e+00 1.098271e+01 -3.395426e-04
1.374004e+00 1.098271e+01 -3.014744e-04
1.220107e+00 1.098271e+01 -2.677109e-04
1.083424e+00 1.098271e+01 -2.377197e-04
9.624639e-01 1.098271e+01 -2.111779e-04
8.539710e-01 1.098271e+01 -1.873743e-04
7.587253e-01 1.098271e+01 -1.664762e-04
6.734007e-01 1.098271e+01 -1.477546e-04
5.980861e-01 1.098271e+01 -1.312280e-04
5.310674e-01 1.098271e+01 -1.164947e-04
4.716981e-01 1.098271e+01 -1.034863e-04
4.187605e-01 1.098271e+01 -9.188649e-05
3.718855e-01 1.098271e+01 -8.161150e-05
3.302510e-01 1.098271e+01 -7.247961e-05
2.932551e-01 1.098271e+01 -6.436114e-05
2.603489e-01 1.098271e+01 -5.713765e-05
2.312139e-01 1.098271e+01 -5.074155e-05
2.052967e-01 1.098271e+01 -4.505283e-05
1.823154e-01 1.098271e+01 -4.000929e-05
1.618909e-01 1.098271e+01 -3.552588e-05
1.437401e-01 1.098271e+01 -3.153933e-05
1.276324e-01 1.098271e+01 -2.800084e-05
1.133401e-01 1.098271e+01 -2.486379e-05
1.006441e-01 1.098271e+01 -2.207812e-05
8.936550e-02 1.098271e+01 -1.960433e-05
7.936508e-02 1.098271e+01 -1.740770e-05
7.047216e-02 1.098271e+01 -1.545784e-05
6.257822e-02 1.098271e+01 -1.372768e-05
5.555556e-02 1.098271e+01 -1.218638e-05
4.933399e-02 1.098271e+01 -1.082258e-05
