 t Vext Jext errJ Jint  G_frac QLFSL1 QLFSL2 QLFSL3 JphotoL1 JphotoL2 JphotoL3 JdirL1 JdirL2 JdirL3 JbulkElecL1 JbulkElecL2 JbulkElecL3 JbulkHolesL1 JbulkHolesL2 JbulkHolesL3 JintElecL1L2 JintElecL2L3 JintHolesL1L2 JintHolesL2L3 JminLeft JminRight JShunt Jnion Jpion JD
 0.0000000000000000E+000  0.0000000000000000E+000  6.0400579569262778E-005  4.1515695879070524E-005  6.0400579569262778E-005  1.0000000000000000E+000  1.4233546970571349E+000  1.7459584865451205E+000  1.3792260481297516E+000  0.0000000000000000E+000  2.2326967537981147E+002  0.0000000000000000E+000  1.1051426840229274E-036  2.1964492690042499E+002  5.6355073191230741E-030  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000  6.6956128251345776E-012 -3.2553724802448314E+000  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000
 1.0000000000000000E-013  0.0000000000000000E+000 -2.7464507757834083E-002  1.4769329699939231E-003 -2.7464507757834083E-002  1.0500000000000000E+000  1.4233493028097344E+000  1.7459584865498066E+000  1.3792225498089572E+000  0.0000000000000000E+000  2.3443315914880193E+002  0.0000000000000000E+000  1.1051424631552632E-036  2.1964493657065259E+002  5.6355075942691241E-030  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000  1.3280068622840756E-003 -1.3431300390557309E+001  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000  7.6937528563891249E-005
 2.0200000000000000E-013  0.0000000000000000E+000 -2.6075006422008860E-002  2.0938295074553605E-003 -2.6075006422008860E-002  1.0500000000000000E+000  1.4233387950859933E+000  1.7459584865589324E+000  1.3792157339478417E+000  0.0000000000000000E+000  2.3443315914880193E+002  0.0000000000000000E+000  1.1051424618076215E-036  2.1964493665777724E+002  5.6355075898988329E-030  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000  1.2085393525073777E-003 -1.2515998408094557E+001  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000  3.0144520958003785E-004
 3.0600000000000001E-013  0.0000000000000000E+000 -2.4695207460255362E-002  2.2953381993578957E-003 -2.4695207460255362E-002  1.0500000000000000E+000  1.4233234467461304E+000  1.7459584865722748E+000  1.3792057727632288E+000  0.0000000000000000E+000  2.3443315914880193E+002  0.0000000000000000E+000  1.1051424598826379E-036  2.1964493678348748E+002  5.6355075837210825E-030  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000  1.0998191274957901E-003 -1.1683035915072910E+001  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000  6.2009605766218069E-004
 4.1220000000000000E-013  0.0000000000000000E+000 -2.3352958482972672E-002  2.3205921913142602E-003 -2.3352958482972672E-002  1.0500000000000000E+000  1.4233034855954538E+000  1.7459584865896467E+000  1.3791928058582079E+000  0.0000000000000000E+000  2.3443315914880193E+002  0.0000000000000000E+000  1.1051424574318302E-036  2.1964493694605082E+002  5.6355075759742540E-030  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000  1.0008793959046063E-003 -1.0925005489285377E+001  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000  9.9456501128723394E-004
 5.2039999999999998E-013  0.0000000000000000E+000 -2.2081758204851237E-002  2.2721152622323733E-003 -2.2081758204851237E-002  1.0500000000000000E+000  1.4232791993405984E+000  1.7459584866108242E+000  1.3791770088089632E+000  0.0000000000000000E+000  2.3443315914880193E+002  0.0000000000000000E+000  1.1051424545173247E-036  2.1964493714351036E+002  5.6355075669345148E-030  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000  9.1084025143922784E-004 -1.0235165452708415E+001  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000  1.3831992369074445E-003
 6.3080000000000000E-013  0.0000000000000000E+000 -2.0902263887150493E-002  2.1680567359522065E-003 -2.0902263887150493E-002  1.0500000000000000E+000  1.4232507875736289E+000  1.7459584866356581E+000  1.3791584968748705E+000  0.0000000000000000E+000  2.3443315914880193E+002  0.0000000000000000E+000  1.1051424511996355E-036  2.1964493737441148E+002  5.6355075568648261E-030  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000  8.2890102996643238E-004 -9.6073812553080735E+000  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000  1.7563824159102757E-003
 7.4340000000000004E-013  0.0000000000000000E+000 -1.9803940303587911E-002  2.0619474420831220E-003 -1.9803940303587911E-002  1.0500000000000000E+000  1.4232184823862570E+000  1.7459584866639832E+000  1.3791374036111104E+000  0.0000000000000000E+000  2.3443315914880193E+002  0.0000000000000000E+000  1.1051424475466896E-036  2.1964493763727955E+002  5.6355075460352020E-030  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000  7.5433304199797578E-004 -9.0360698321310942E+000  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000  2.1179162055204761E-003
 8.5829999999999999E-013  0.0000000000000000E+000 -1.8790493449599543E-002  1.9674824190601256E-003 -1.8790493449599543E-002  1.0500000000000000E+000  1.4231824797517425E+000  1.7459584866956668E+000  1.3791138361865847E+000  0.0000000000000000E+000  2.3443315914880193E+002  0.0000000000000000E+000  1.1051424436288417E-036  2.1964493793089559E+002  5.6355075346968736E-030  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000  6.8647322080134200E-004 -8.5161509031977332E+000  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000  2.4577092267509221E-003
 9.7550000000000003E-013  0.0000000000000000E+000 -1.7849813041110132E-002  1.8887661055708575E-003 -1.7849813041110132E-002  1.0500000000000000E+000  1.4231429975344994E+000  1.7459584867305673E+000  1.3790879133741745E+000  0.0000000000000000E+000  2.3443315914880193E+002  0.0000000000000000E+000  1.1051424395239549E-036  2.1964493825396147E+002  5.6355075230895933E-030  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000  6.2471804244565183E-004 -8.0430004144948946E+000  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000  2.7811333491236960E-003
 1.0950000000000001E-012  0.0000000000000000E+000 -1.6968427745669572E-002  1.8157982451515397E-003 -1.6968427745669572E-002  1.0500000000000000E+000  1.4231002498953949E+000  1.7459584867685460E+000  1.3790597489608263E+000  0.0000000000000000E+000  2.3443315914880193E+002  0.0000000000000000E+000  1.1051424353147325E-036  2.1964493860522799E+002  5.6355075114271769E-030  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000  5.6851835967952451E-004 -7.6124109404798581E+000  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000  3.0967446939699781E-003
 1.2170000000000000E-012  0.0000000000000000E+000 -1.6166169030267269E-002  1.7387089302770482E-003 -1.6166169030267269E-002  1.0500000000000000E+000  1.4230543725824698E+000  1.7459584868095424E+000  1.3790294022843510E+000  0.0000000000000000E+000  2.3443315914880193E+002  0.0000000000000000E+000  1.1051424310812137E-036  2.1964493898410467E+002  5.6355074998726267E-030  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000  5.1737440414849995E-004 -7.2205533839005307E+000  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000  3.3802054222835001E-003
