freq ReP ImP
9.157509e+09 -4.890248e-07 -8.435411e-06
8.090615e+09 8.635484e-09 -1.021804e-05
7.147963e+09 6.298794e-07 -1.228269e-05
6.321113e+09 1.400817e-06 -1.470420e-05
5.595971e+09 2.335551e-06 -1.746494e-05
4.952947e+09 3.485496e-06 -2.066367e-05
4.385965e+09 4.875358e-06 -2.430602e-05
3.885004e+09 6.550037e-06 -2.844746e-05
3.442341e+09 8.559695e-06 -3.313568e-05
3.050641e+09 1.096589e-05 -3.844764e-05
2.704164e+09 1.382631e-05 -4.440427e-05
2.397507e+09 1.720518e-05 -5.103298e-05
2.126302e+09 2.118179e-05 -5.840676e-05
1.885725e+09 2.584539e-05 -6.653951e-05
1.672520e+09 3.128181e-05 -7.545089e-05
1.483900e+09 3.757814e-05 -8.517357e-05
1.316482e+09 4.484573e-05 -9.568147e-05
1.168224e+09 5.317082e-05 -1.069532e-04
1.036592e+09 6.267822e-05 -1.189671e-04
9.199632e+08 7.347044e-05 -1.317426e-04
8.163265e+08 8.563681e-05 -1.450031e-04
7.246377e+08 9.923828e-05 -1.587767e-04
6.430868e+08 1.144126e-04 -1.728415e-04
5.711022e+08 1.311336e-04 -1.872657e-04
5.068424e+08 1.495705e-04 -2.015647e-04
4.498426e+08 1.696861e-04 -2.157860e-04
3.993610e+08 1.913848e-04 -2.295603e-04
3.546099e+08 2.146736e-04 -2.430270e-04
3.148615e+08 2.394186e-04 -2.555812e-04
2.794857e+08 2.655768e-04 -2.672673e-04
2.481390e+08 2.928458e-04 -2.779370e-04
2.203128e+08 3.210637e-04 -2.875783e-04
1.956182e+08 3.499946e-04 -2.962275e-04
1.736714e+08 3.794378e-04 -3.038599e-04
1.542020e+08 4.091634e-04 -3.107881e-04
1.369113e+08 4.390220e-04 -3.169613e-04
1.215658e+08 4.690128e-04 -3.229078e-04
1.079447e+08 4.992222e-04 -3.286740e-04
9.587728e+07 5.299484e-04 -3.348630e-04
8.510638e+07 5.615600e-04 -3.393897e-04
7.558579e+07 5.944658e-04 -3.434090e-04
6.711409e+07 6.293558e-04 -3.462552e-04
5.959476e+07 6.661827e-04 -3.469363e-04
5.291005e+07 7.040345e-04 -3.418335e-04
4.697041e+07 7.423043e-04 -3.332567e-04
4.171882e+07 7.792259e-04 -3.215151e-04
3.703704e+07 8.135905e-04 -3.060097e-04
3.288392e+07 8.443137e-04 -2.880413e-04
2.920561e+07 8.712975e-04 -2.706300e-04
2.593361e+07 8.948896e-04 -2.535499e-04
2.302556e+07 9.154287e-04 -2.364151e-04
2.044572e+07 9.342008e-04 -2.212159e-04
1.815541e+07 9.524287e-04 -2.080032e-04
1.612123e+07 9.708777e-04 -1.964725e-04
1.431434e+07 9.891221e-04 -1.835669e-04
1.271133e+07 1.007170e-03 -1.723020e-04
1.128668e+07 1.024000e-03 -1.606269e-04
1.002205e+07 1.039200e-03 -1.512838e-04
8.896797e+06 1.052554e-03 -1.461305e-04
7.905138e+06 1.064381e-03 -1.557624e-04
7.017544e+06 1.069860e-03 -1.499321e-04
6.230530e+06 1.072903e-03 -1.600555e-04
5.534034e+06 1.076357e-03 -2.047443e-04
4.914005e+06 1.073725e-03 -2.472243e-04
4.363002e+06 1.053955e-03 -3.242752e-04
3.874467e+06 9.055974e-04 -4.988065e-04
3.439972e+06 7.713777e-04 -7.933644e-04
3.054368e+06 6.781885e-04 -1.222323e-03
2.712232e+06 6.634692e-04 -1.755495e-03
2.408478e+06 6.866031e-04 -2.387796e-03
2.138580e+06 7.565101e-04 -3.125331e-03
1.898975e+06 8.502881e-04 -4.028652e-03
1.686341e+06 9.576569e-04 -5.120829e-03
1.497454e+06 1.057957e-03 -6.477729e-03
1.329610e+06 1.145039e-03 -8.184898e-03
1.180638e+06 1.230063e-03 -1.036724e-02
1.048438e+06 1.278252e-03 -1.313991e-02
9.310987e+05 1.335300e-03 -1.668754e-02
8.264463e+05 1.362120e-03 -2.118769e-02
7.342144e+05 1.408898e-03 -2.706965e-02
6.518905e+05 1.412813e-03 -3.437216e-02
5.787037e+05 1.459843e-03 -4.376015e-02
5.138746e+05 1.582882e-03 -5.570764e-02
4.564126e+05 1.799567e-03 -7.072150e-02
4.051864e+05 2.177415e-03 -8.969912e-02
3.598417e+05 2.812102e-03 -1.135992e-01
3.194888e+05 3.797162e-03 -1.436320e-01
2.837684e+05 5.322579e-03 -1.811850e-01
2.519526e+05 7.605958e-03 -2.280458e-01
2.237136e+05 1.102352e-02 -2.863084e-01
1.986492e+05 1.614087e-02 -3.584222e-01
1.763980e+05 2.371402e-02 -4.472307e-01
1.566416e+05 3.481694e-02 -5.558732e-01
1.391014e+05 5.098654e-02 -6.878764e-01
1.235178e+05 7.435379e-02 -8.471602e-01
1.096732e+05 1.077674e-01 -1.037332e+00
9.737098e+04 1.550781e-01 -1.262212e+00
8.650519e+04 2.207150e-01 -1.522865e+00
7.680492e+04 3.112445e-01 -1.823152e+00
6.816633e+04 4.340366e-01 -2.162830e+00
6.053269e+04 5.963145e-01 -2.536749e+00
5.376344e+04 8.068639e-01 -2.939947e+00
4.773270e+04 1.075312e+00 -3.365165e+00
4.239084e+04 1.407620e+00 -3.797201e+00
3.765060e+04 1.809138e+00 -4.221101e+00
3.342246e+04 2.284073e+00 -4.621211e+00
2.968240e+04 2.825855e+00 -4.975599e+00
2.635741e+04 3.428949e+00 -5.268540e+00
2.340276e+04 4.080505e+00 -5.485096e+00
2.078138e+04 4.762561e+00 -5.614878e+00
1.845359e+04 5.456131e+00 -5.653742e+00
1.638538e+04 6.141478e+00 -5.603319e+00
1.455180e+04 6.798411e+00 -5.471124e+00
1.291990e+04 7.413894e+00 -5.268221e+00
1.147315e+04 7.974189e+00 -5.009735e+00
1.018745e+04 8.473997e+00 -4.710594e+00
9.049774e+03 8.908987e+00 -4.387238e+00
8.032129e+03 9.285086e+00 -4.049411e+00
7.132668e+03 9.601577e+00 -3.712082e+00
6.333122e+03 9.865944e+00 -3.382036e+00
5.624297e+03 1.008379e+01 -3.066436e+00
4.995005e+03 1.026195e+01 -2.769010e+00
4.434590e+03 1.040704e+01 -2.491334e+00
3.938558e+03 1.052376e+01 -2.236225e+00
3.496503e+03 1.061786e+01 -2.002088e+00
3.104626e+03 1.069303e+01 -1.789646e+00
2.757100e+03 1.075292e+01 -1.597765e+00
2.448580e+03 1.080057e+01 -1.424943e+00
2.173913e+03 1.083852e+01 -1.269321e+00
1.930502e+03 1.086855e+01 -1.130160e+00
1.714090e+03 1.089237e+01 -1.005555e+00
1.522302e+03 1.091118e+01 -8.945077e-01
1.351717e+03 1.092608e+01 -7.953010e-01
1.200192e+03 1.093786e+01 -7.068718e-01
1.065757e+03 1.094716e+01 -6.282005e-01
9.460738e+02 1.095452e+01 -5.580100e-01
8.403361e+02 1.096030e+01 -4.958922e-01
7.462687e+02 1.096487e+01 -4.405561e-01
6.626905e+02 1.096847e+01 -3.913383e-01
5.882353e+02 1.097133e+01 -3.474561e-01
5.224660e+02 1.097357e+01 -3.086677e-01
4.640371e+02 1.097534e+01 -2.741904e-01
4.120313e+02 1.097674e+01 -2.434906e-01
3.657644e+02 1.097784e+01 -2.161698e-01
3.247808e+02 1.097871e+01 -1.919625e-01
2.884338e+02 1.097939e+01 -1.704896e-01
2.561475e+02 1.097993e+01 -1.514127e-01
2.274278e+02 1.098036e+01 -1.344409e-01
2.019386e+02 1.098070e+01 -1.193768e-01
1.793400e+02 1.098096e+01 -1.060200e-01
1.592357e+02 1.098117e+01 -9.413665e-02
1.414027e+02 1.098134e+01 -8.359539e-02
1.255650e+02 1.098147e+01 -7.423320e-02
1.114951e+02 1.098157e+01 -6.591576e-02
9.900990e+01 1.098165e+01 -5.853491e-02
8.787346e+01 1.098171e+01 -5.195131e-02
7.806401e+01 1.098176e+01 -4.615210e-02
6.930007e+01 1.098180e+01 -4.097092e-02
6.153846e+01 1.098183e+01 -3.638228e-02
5.464481e+01 1.098186e+01 -3.230674e-02
4.854369e+01 1.098188e+01 -2.869972e-02
4.310345e+01 1.098189e+01 -2.548341e-02
3.827019e+01 1.098190e+01 -2.262593e-02
3.397893e+01 1.098191e+01 -2.008890e-02
3.017502e+01 1.098192e+01 -1.783997e-02
2.679528e+01 1.098193e+01 -1.584182e-02
2.379253e+01 1.098193e+01 -1.406655e-02
2.112825e+01 1.098194e+01 -1.249139e-02
1.875821e+01 1.098194e+01 -1.109018e-02
1.665834e+01 1.098194e+01 -9.848702e-03
1.479290e+01 1.098194e+01 -8.745824e-03
1.313543e+01 1.098194e+01 -7.765898e-03
1.166317e+01 1.098195e+01 -6.895473e-03
