t PL
0.000000e+00 6.589167e+01
1.000000e-13 6.589167e+01
2.020000e-13 6.589167e+01
3.060000e-13 6.589167e+01
4.122000e-13 6.589167e+01
5.204000e-13 6.589167e+01
6.308000e-13 6.589167e+01
7.434000e-13 6.589167e+01
8.583000e-13 6.589167e+01
9.755000e-13 6.589167e+01
1.095000e-12 6.589167e+01
1.217000e-12 6.589167e+01
1.341000e-12 6.589167e+01
1.468000e-12 6.589167e+01
1.597000e-12 6.589167e+01
1.729000e-12 6.589167e+01
1.864000e-12 6.589168e+01
2.001000e-12 6.589168e+01
2.141000e-12 6.589168e+01
2.284000e-12 6.589168e+01
2.430000e-12 6.589168e+01
2.578000e-12 6.589168e+01
2.730000e-12 6.589168e+01
2.884000e-12 6.589168e+01
3.042000e-12 6.589168e+01
3.203000e-12 6.589168e+01
3.367000e-12 6.589168e+01
3.534000e-12 6.589168e+01
3.705000e-12 6.589168e+01
3.879000e-12 6.589168e+01
4.057000e-12 6.589168e+01
4.238000e-12 6.589168e+01
4.423000e-12 6.589168e+01
4.611000e-12 6.589168e+01
4.803000e-12 6.589168e+01
4.999000e-12 6.589168e+01
5.199000e-12 6.589169e+01
5.403000e-12 6.589169e+01
5.611000e-12 6.589169e+01
5.824000e-12 6.589169e+01
6.040000e-12 6.589169e+01
6.261000e-12 6.589169e+01
6.486000e-12 6.589169e+01
6.716000e-12 6.589169e+01
6.950000e-12 6.589169e+01
7.189000e-12 6.589169e+01
7.433000e-12 6.589169e+01
7.682000e-12 6.589169e+01
7.935000e-12 6.589169e+01
8.194000e-12 6.589170e+01
8.458000e-12 6.589170e+01
8.727000e-12 6.589170e+01
9.002000e-12 6.589170e+01
9.282000e-12 6.589170e+01
9.567000e-12 6.589170e+01
9.859000e-12 6.589170e+01
1.016000e-11 6.589170e+01
1.046000e-11 6.589170e+01
1.077000e-11 6.589170e+01
1.108000e-11 6.589171e+01
1.141000e-11 6.589171e+01
1.173000e-11 6.589171e+01
1.207000e-11 6.589171e+01
1.241000e-11 6.589171e+01
1.276000e-11 6.589171e+01
1.311000e-11 6.589171e+01
1.347000e-11 6.589171e+01
1.384000e-11 6.589171e+01
1.422000e-11 6.589172e+01
1.461000e-11 6.589172e+01
1.500000e-11 6.589172e+01
1.540000e-11 6.589172e+01
1.581000e-11 6.589172e+01
1.622000e-11 6.589172e+01
1.665000e-11 6.589172e+01
1.708000e-11 6.589172e+01
1.752000e-11 6.589173e+01
1.797000e-11 6.589173e+01
1.843000e-11 6.589173e+01
1.890000e-11 6.589173e+01
1.938000e-11 6.589173e+01
1.986000e-11 6.589173e+01
2.036000e-11 6.589174e+01
2.087000e-11 6.589174e+01
2.139000e-11 6.589174e+01
2.191000e-11 6.589174e+01
2.245000e-11 6.589174e+01
2.300000e-11 6.589174e+01
2.356000e-11 6.589175e+01
2.413000e-11 6.589175e+01
2.472000e-11 6.589175e+01
2.531000e-11 6.589175e+01
2.592000e-11 6.589175e+01
2.653000e-11 6.589176e+01
2.717000e-11 6.589176e+01
2.781000e-11 6.589176e+01
2.846000e-11 6.589176e+01
2.913000e-11 6.589176e+01
2.982000e-11 6.589177e+01
3.051000e-11 6.589177e+01
3.122000e-11 6.589177e+01
3.195000e-11 6.589177e+01
3.269000e-11 6.589177e+01
3.344000e-11 6.589178e+01
3.421000e-11 6.589178e+01
3.499000e-11 6.589178e+01
