freq ReP ImP
9.157509e+09 9.386630e-07 -8.818082e-06
8.090615e+09 1.489672e-06 -1.066453e-05
7.147963e+09 2.175646e-06 -1.278378e-05
6.321113e+09 3.026496e-06 -1.526374e-05
5.595971e+09 4.054190e-06 -1.806484e-05
4.952947e+09 5.315162e-06 -2.128845e-05
4.385965e+09 6.832925e-06 -2.492319e-05
3.885004e+09 8.654132e-06 -2.901410e-05
3.442341e+09 1.082954e-05 -3.359531e-05
3.050641e+09 1.342284e-05 -3.873572e-05
2.704164e+09 1.648890e-05 -4.442784e-05
2.397507e+09 2.008847e-05 -5.066688e-05
2.126302e+09 2.429920e-05 -5.751487e-05
1.885725e+09 2.920131e-05 -6.493482e-05
1.672520e+09 3.486983e-05 -7.290936e-05
1.483900e+09 4.137942e-05 -8.144940e-05
1.316482e+09 4.881754e-05 -9.045515e-05
1.168224e+09 5.724366e-05 -9.987046e-05
1.036592e+09 6.674653e-05 -1.096136e-04
9.199632e+08 7.739094e-05 -1.197171e-04
8.163265e+08 8.918721e-05 -1.297367e-04
7.246377e+08 1.021463e-04 -1.397858e-04
6.430868e+08 1.163013e-04 -1.495258e-04
5.711022e+08 1.315739e-04 -1.592614e-04
5.068424e+08 1.479654e-04 -1.682325e-04
4.498426e+08 1.653618e-04 -1.767884e-04
3.993610e+08 1.835449e-04 -1.846189e-04
3.546099e+08 2.024590e-04 -1.922387e-04
3.148615e+08 2.218348e-04 -1.989900e-04
2.794857e+08 2.416008e-04 -2.052843e-04
2.481390e+08 2.614980e-04 -2.113061e-04
2.203128e+08 2.814591e-04 -2.173491e-04
1.956182e+08 3.014401e-04 -2.237362e-04
1.736714e+08 3.214872e-04 -2.305696e-04
1.542020e+08 3.417431e-04 -2.383879e-04
1.369113e+08 3.623936e-04 -2.469725e-04
1.215658e+08 3.838353e-04 -2.569495e-04
1.079447e+08 4.064231e-04 -2.681047e-04
9.587728e+07 4.307016e-04 -2.811957e-04
8.510638e+07 4.568669e-04 -2.927443e-04
7.558579e+07 4.855086e-04 -3.048210e-04
6.711409e+07 5.173016e-04 -3.168264e-04
5.959476e+07 5.521909e-04 -3.277469e-04
5.291005e+07 5.890224e-04 -3.322239e-04
4.697041e+07 6.277330e-04 -3.343880e-04
4.171882e+07 6.667192e-04 -3.343572e-04
3.703704e+07 7.047553e-04 -3.305868e-04
3.288392e+07 7.403784e-04 -3.243690e-04
2.920561e+07 7.732405e-04 -3.198348e-04
2.593361e+07 8.031712e-04 -3.165581e-04
2.302556e+07 8.302807e-04 -3.140376e-04
2.044572e+07 8.561086e-04 -3.159966e-04
1.815541e+07 8.823217e-04 -3.233256e-04
1.612123e+07 9.102678e-04 -3.364191e-04
1.431434e+07 9.395158e-04 -3.510867e-04
1.271133e+07 9.701410e-04 -3.731547e-04
1.128668e+07 1.000180e-03 -4.005930e-04
1.002205e+07 1.028431e-03 -4.397754e-04
8.896797e+06 1.053981e-03 -4.966374e-04
7.905138e+06 1.076891e-03 -5.914064e-04
7.017544e+06 1.089450e-03 -6.801612e-04
6.230530e+06 1.097399e-03 -8.194005e-04
5.534034e+06 1.106722e-03 -1.045904e-03
4.914005e+06 9.885158e-04 -1.336805e-03
4.363002e+06 7.297431e-04 -1.878394e-03
3.874467e+06 5.507830e-04 -2.696389e-03
3.439972e+06 4.748468e-04 -3.718042e-03
3.054368e+06 4.999924e-04 -4.985935e-03
2.712232e+06 6.022683e-04 -6.501408e-03
2.408478e+06 7.658202e-04 -8.320795e-03
2.138580e+06 9.573392e-04 -1.052123e-02
1.898975e+06 1.175580e-03 -1.326855e-02
1.686341e+06 1.404752e-03 -1.667412e-02
1.497454e+06 1.646828e-03 -2.094434e-02
1.329610e+06 1.864621e-03 -2.634488e-02
1.180638e+06 2.126939e-03 -3.318726e-02
1.048438e+06 2.466351e-03 -4.180321e-02
9.310987e+05 2.820804e-03 -5.266567e-02
8.264463e+05 3.418998e-03 -6.631420e-02
7.342144e+05 4.216377e-03 -8.352191e-02
6.518905e+05 5.252278e-03 -1.048113e-01
5.787037e+05 6.713524e-03 -1.315367e-01
5.138746e+05 8.775985e-03 -1.648266e-01
4.564126e+05 1.168850e-02 -2.059352e-01
4.051864e+05 1.586859e-02 -2.568507e-01
3.598417e+05 2.183448e-02 -3.193575e-01
3.194888e+05 3.031543e-02 -3.958838e-01
2.837684e+05 4.223448e-02 -4.886563e-01
2.519526e+05 5.886193e-02 -6.007824e-01
2.237136e+05 8.182960e-02 -7.351092e-01
1.986492e+05 1.132875e-01 -8.947084e-01
1.763980e+05 1.559969e-01 -1.082601e+00
1.566416e+05 2.134375e-01 -1.301413e+00
1.391014e+05 2.899370e-01 -1.553197e+00
1.235178e+05 3.907911e-01 -1.839243e+00
1.096732e+05 5.220569e-01 -2.158973e+00
9.737098e+04 6.907027e-01 -2.510293e+00
8.650519e+04 9.025273e-01 -2.885888e+00
7.680492e+04 1.166694e+00 -3.281856e+00
6.816633e+04 1.489783e+00 -3.687265e+00
6.053269e+04 1.873833e+00 -4.085931e+00
5.376344e+04 2.321455e+00 -4.463933e+00
4.773270e+04 2.833456e+00 -4.806709e+00
4.239084e+04 3.401408e+00 -5.096282e+00
3.765060e+04 4.016151e+00 -5.319378e+00
3.342246e+04 4.667453e+00 -5.466076e+00
2.968240e+04 5.333300e+00 -5.528926e+00
2.635741e+04 5.998735e+00 -5.507664e+00
2.340276e+04 6.645781e+00 -5.406403e+00
2.078138e+04 7.257600e+00 -5.234198e+00
1.845359e+04 7.822306e+00 -5.003202e+00
1.638538e+04 8.331765e+00 -4.727278e+00
1.455180e+04 8.780736e+00 -4.421516e+00
1.291990e+04 9.170938e+00 -4.097955e+00
1.147315e+04 9.503147e+00 -3.769249e+00
1.018745e+04 9.782554e+00 -3.443989e+00
9.049774e+03 1.001374e+01 -3.130700e+00
8.032129e+03 1.020514e+01 -2.830997e+00
7.132668e+03 1.036040e+01 -2.551641e+00
6.333122e+03 1.048624e+01 -2.292693e+00
5.624297e+03 1.058741e+01 -2.055405e+00
4.995005e+03 1.066851e+01 -1.839176e+00
4.434590e+03 1.073350e+01 -1.642602e+00
3.938558e+03 1.078512e+01 -1.465759e+00
3.496503e+03 1.082631e+01 -1.306125e+00
3.104626e+03 1.085894e+01 -1.163169e+00
2.757100e+03 1.088476e+01 -1.035377e+00
2.448580e+03 1.090521e+01 -9.212134e-01
2.173913e+03 1.092143e+01 -8.190705e-01
1.930502e+03 1.093422e+01 -7.281957e-01
1.714090e+03 1.094434e+01 -6.471509e-01
1.522302e+03 1.095231e+01 -5.751526e-01
1.351717e+03 1.095862e+01 -5.109910e-01
1.200192e+03 1.096360e+01 -4.539122e-01
1.065757e+03 1.096753e+01 -4.032106e-01
9.460738e+02 1.097063e+01 -3.580298e-01
8.403361e+02 1.097307e+01 -3.180840e-01
7.462687e+02 1.097500e+01 -2.825263e-01
6.626905e+02 1.097652e+01 -2.509189e-01
5.882353e+02 1.097772e+01 -2.227513e-01
5.224660e+02 1.097866e+01 -1.978627e-01
4.640371e+02 1.097941e+01 -1.757468e-01
4.120313e+02 1.098000e+01 -1.560587e-01
3.657644e+02 1.098046e+01 -1.385406e-01
3.247808e+02 1.098083e+01 -1.230213e-01
2.884338e+02 1.098112e+01 -1.092565e-01
2.561475e+02 1.098134e+01 -9.702866e-02
2.274278e+02 1.098152e+01 -8.615100e-02
2.019386e+02 1.098166e+01 -7.649651e-02
1.793400e+02 1.098178e+01 -6.793661e-02
1.592357e+02 1.098186e+01 -6.032126e-02
1.414027e+02 1.098193e+01 -5.356615e-02
1.255650e+02 1.098199e+01 -4.756676e-02
1.114951e+02 1.098203e+01 -4.223695e-02
9.900990e+01 1.098206e+01 -3.750736e-02
8.787346e+01 1.098209e+01 -3.328868e-02
7.806401e+01 1.098211e+01 -2.957267e-02
6.930007e+01 1.098213e+01 -2.625270e-02
6.153846e+01 1.098214e+01 -2.331242e-02
5.464481e+01 1.098215e+01 -2.070094e-02
4.854369e+01 1.098216e+01 -1.838969e-02
4.310345e+01 1.098217e+01 -1.632878e-02
3.827019e+01 1.098217e+01 -1.449782e-02
3.397893e+01 1.098218e+01 -1.287217e-02
3.017502e+01 1.098218e+01 -1.143115e-02
2.679528e+01 1.098218e+01 -1.015081e-02
2.379253e+01 1.098218e+01 -9.013284e-03
2.112825e+01 1.098219e+01 -8.003980e-03
1.875821e+01 1.098219e+01 -7.106141e-03
1.665834e+01 1.098219e+01 -6.310652e-03
1.479290e+01 1.098219e+01 -5.603972e-03
1.313543e+01 1.098219e+01 -4.976074e-03
1.166317e+01 1.098219e+01 -4.418340e-03
1.035626e+01 1.098219e+01 -3.923245e-03
9.199632e+00 1.098219e+01 -3.485083e-03
8.163265e+00 1.098219e+01 -3.092478e-03
7.251632e+00 1.098219e+01 -2.747125e-03
6.439150e+00 1.098219e+01 -2.439333e-03
5.717553e+00 1.098219e+01 -2.165971e-03
5.076142e+00 1.098219e+01 -1.922987e-03
4.508566e+00 1.098219e+01 -1.707973e-03
4.003203e+00 1.098219e+01 -1.516527e-03
3.554924e+00 1.098219e+01 -1.346706e-03
3.156566e+00 1.098219e+01 -1.195797e-03
2.802691e+00 1.098219e+01 -1.061739e-03
2.488800e+00 1.098219e+01 -9.428281e-04
2.209945e+00 1.098219e+01 -8.371900e-04
1.962323e+00 1.098219e+01 -7.433845e-04
1.742768e+00 1.098219e+01 -6.602107e-04
1.547509e+00 1.098219e+01 -5.862405e-04
1.374004e+00 1.098219e+01 -5.205119e-04
1.220107e+00 1.098219e+01 -4.622116e-04
1.083424e+00 1.098219e+01 -4.104321e-04
9.624639e-01 1.098219e+01 -3.646090e-04
8.539710e-01 1.098219e+01 -3.235090e-04
7.587253e-01 1.098219e+01 -2.874275e-04
6.734007e-01 1.098219e+01 -2.551031e-04
5.980861e-01 1.098219e+01 -2.265724e-04
5.310674e-01 1.098219e+01 -2.011838e-04
4.716981e-01 1.098219e+01 -1.786934e-04
4.187605e-01 1.098219e+01 -1.586387e-04
3.718855e-01 1.098219e+01 -1.408813e-04
3.302510e-01 1.098219e+01 -1.251088e-04
2.932551e-01 1.098219e+01 -1.110932e-04
2.603489e-01 1.098219e+01 -9.862646e-05
2.312139e-01 1.098219e+01 -8.758956e-05
2.052967e-01 1.098219e+01 -7.777178e-05
1.823154e-01 1.098219e+01 -6.906581e-05
1.618909e-01 1.098219e+01 -6.132838e-05
1.437401e-01 1.098219e+01 -5.445270e-05
1.276324e-01 1.098219e+01 -4.835070e-05
1.133401e-01 1.098219e+01 -4.293611e-05
1.006441e-01 1.098219e+01 -3.812674e-05
8.936550e-02 1.098219e+01 -3.385475e-05
7.936508e-02 1.098219e+01 -3.006548e-05
7.047216e-02 1.098219e+01 -2.669726e-05
6.257822e-02 1.098219e+01 -2.370671e-05
5.555556e-02 1.098219e+01 -2.104679e-05
4.933399e-02 1.098219e+01 -1.868938e-05
4.380201e-02 1.098219e+01 -1.659394e-05
3.889537e-02 1.098219e+01 -1.473520e-05
3.454231e-02 1.098219e+01 -1.308618e-05
3.067485e-02 1.098219e+01 -1.162112e-05
2.724053e-02 1.098219e+01 -1.032027e-05
2.418380e-02 1.098219e+01 -9.162133e-06
