freq ReZ ImZ ReErrZ ImErrZ C G errC errG
5.291005e+03 4.651786e-02 -3.652166e-02 5.072367e-04 1.061785e-04 3.140831e-04 1.329939e+01 1.663481e-06 1.878021e-02
4.697041e+03 5.060955e-02 -3.527876e-02 4.765982e-04 1.570934e-04 3.140868e-04 1.329759e+01 1.387574e-06 2.777821e-02
4.171882e+03 5.436560e-02 -3.366327e-02 4.372650e-04 1.981456e-04 3.140834e-04 1.329611e+01 1.130698e-06 3.502949e-02
3.703704e+03 5.776066e-02 -3.175344e-02 3.923549e-04 2.285050e-04 3.140707e-04 1.329489e+01 9.006375e-07 4.038922e-02
3.288392e+03 6.074962e-02 -2.965155e-02 3.453468e-04 2.480244e-04 3.140461e-04 1.329392e+01 7.037295e-07 4.383292e-02
2.920561e+03 6.332774e-02 -2.745053e-02 2.990747e-04 2.576998e-04 3.140067e-04 1.329316e+01 5.411324e-07 4.553764e-02
2.593361e+03 6.552496e-02 -2.521724e-02 2.553540e-04 2.591249e-04 3.139482e-04 1.329261e+01 4.101112e-07 4.578565e-02
2.302556e+03 6.736974e-02 -2.301446e-02 2.155061e-04 2.540318e-04 3.138661e-04 1.329225e+01 3.071414e-07 4.488333e-02
2.044572e+03 6.889748e-02 -2.089215e-02 1.802461e-04 2.441620e-04 3.137551e-04 1.329209e+01 2.279448e-07 4.313846e-02
1.815541e+03 7.015096e-02 -1.888053e-02 1.496977e-04 2.310585e-04 3.136095e-04 1.329213e+01 1.679499e-07 4.082357e-02
1.612123e+03 7.117120e-02 -1.699850e-02 1.236697e-04 2.159927e-04 3.134229e-04 1.329237e+01 1.230560e-07 3.816313e-02
1.431434e+03 7.199568e-02 -1.525618e-02 1.017858e-04 1.999606e-04 3.131884e-04 1.329283e+01 8.979445e-08 3.533291e-02
1.271133e+03 7.265691e-02 -1.365887e-02 8.359791e-05 1.837256e-04 3.129009e-04 1.329351e+01 6.537021e-08 3.246752e-02
1.128668e+03 7.318507e-02 -1.220185e-02 6.857395e-05 1.677845e-04 3.125555e-04 1.329444e+01 4.750720e-08 2.965457e-02
1.002205e+03 7.360404e-02 -1.088167e-02 5.625092e-05 1.525067e-04 3.121516e-04 1.329561e+01 3.451415e-08 2.695910e-02
8.896797e+02 7.393518e-02 -9.688048e-03 4.616281e-05 1.380745e-04 3.116929e-04 1.329705e+01 2.507031e-08 2.441316e-02
7.905138e+02 7.419272e-02 -8.623443e-03 3.800537e-05 1.247413e-04 3.112009e-04 1.329875e+01 1.828168e-08 2.206134e-02
7.017544e+02 7.439458e-02 -7.662078e-03 3.131661e-05 1.123485e-04 3.106823e-04 1.330075e+01 1.332824e-08 1.987557e-02
6.230530e+02 7.454962e-02 -6.805173e-03 2.589076e-05 1.010182e-04 3.101985e-04 1.330303e+01 9.752790e-09 1.787726e-02
5.534034e+02 7.466694e-02 -6.045695e-03 2.149799e-05 9.073682e-05 3.098346e-04 1.330558e+01 7.175949e-09 1.606390e-02
4.914005e+02 7.475467e-02 -5.370911e-03 1.791801e-05 8.139213e-05 3.096848e-04 1.330839e+01 5.305726e-09 1.441563e-02
4.363002e+02 7.481853e-02 -4.775596e-03 1.500400e-05 7.294111e-05 3.099404e-04 1.331144e+01 3.951197e-09 1.292476e-02
3.874467e+02 7.486334e-02 -4.254917e-03 1.263463e-05 6.533536e-05 3.108567e-04 1.331466e+01 2.972179e-09 1.158267e-02
3.439972e+02 7.489330e-02 -3.801705e-03 1.069908e-05 5.848269e-05 3.127807e-04 1.331801e+01 2.262357e-09 1.037304e-02
3.054368e+02 7.491184e-02 -3.412848e-03 9.119244e-06 5.233135e-05 3.162383e-04 1.332138e+01 1.750205e-09 9.286672e-03
2.712232e+02 7.492198e-02 -3.084614e-03 7.827920e-06 4.681766e-05 3.219142e-04 1.332463e+01 1.382399e-09 8.312279e-03
2.408478e+02 7.492650e-02 -2.813932e-03 6.770060e-06 4.187734e-05 3.307563e-04 1.332761e+01 1.120808e-09 7.438475e-03
2.138580e+02 7.492799e-02 -2.598442e-03 5.901479e-06 3.745072e-05 3.440310e-04 1.333012e+01 9.385584e-10 6.654693e-03
1.898975e+02 7.492903e-02 -2.437202e-03 5.188263e-06 3.349052e-05 3.634403e-04 1.333186e+01 8.176869e-10 5.952552e-03
1.686341e+02 7.493222e-02 -2.329204e-03 4.601906e-06 2.995098e-05 3.911341e-04 1.333251e+01 7.459579e-10 5.323962e-03
1.497454e+02 7.494034e-02 -2.274048e-03 4.118863e-06 2.678597e-05 4.299670e-04 1.333167e+01 7.164422e-10 4.760764e-03
1.329610e+02 7.495637e-02 -2.271907e-03 3.720350e-06 2.395636e-05 4.835823e-04 1.332885e+01 7.268233e-10 4.256045e-03
1.180638e+02 7.498360e-02 -2.323243e-03 3.391560e-06 2.143082e-05 5.564792e-04 1.332346e+01 7.791011e-10 3.804283e-03
1.048438e+02 7.502559e-02 -2.428264e-03 3.119598e-06 1.917824e-05 6.541838e-04 1.331484e+01 8.794696e-10 3.400013e-03
9.310987e+01 7.508628e-02 -2.587364e-03 2.893928e-06 1.716983e-05 7.835115e-04 1.330222e+01 1.039332e-09 3.038184e-03
8.264463e+01 7.517046e-02 -2.801570e-03 2.704782e-06 1.537148e-05 9.534759e-04 1.328465e+01 1.276869e-09 2.712786e-03
7.342144e+01 7.528196e-02 -3.068567e-03 2.547257e-06 1.378140e-05 1.171737e-03 1.326136e+01 1.613376e-09 2.423648e-03
6.518905e+01 7.542719e-02 -3.389083e-03 2.412523e-06 1.235853e-05 1.451429e-03 1.323111e+01 2.081698e-09 2.163512e-03
5.787037e+01 7.561197e-02 -3.761352e-03 2.296345e-06 1.109150e-05 1.804901e-03 1.319277e+01 2.720070e-09 1.930467e-03
5.138746e+01 7.584208e-02 -4.180461e-03 2.194464e-06 9.968411e-06 2.244136e-03 1.314535e+01 3.568321e-09 1.722544e-03
4.564126e+01 7.612438e-02 -4.640891e-03 2.102714e-06 8.973415e-06 2.782308e-03 1.308775e+01 4.667970e-09 1.537050e-03
4.051864e+01 7.646830e-02 -5.138309e-03 2.017251e-06 8.087902e-06 3.436102e-03 1.301853e+01 6.063550e-09 1.370755e-03
3.598417e+01 7.687947e-02 -5.659734e-03 1.935659e-06 7.306424e-06 4.212468e-03 1.293726e+01 7.765929e-09 1.222896e-03
3.194888e+01 7.736764e-02 -6.195250e-03 1.854712e-06 6.613885e-06 5.123052e-03 1.284295e+01 9.771687e-09 1.090903e-03
2.837684e+01 7.793690e-02 -6.726816e-03 1.772653e-06 6.003938e-06 6.165325e-03 1.273601e+01 1.201378e-08 9.738750e-04
