tau U offset_const cost_const
8.232368e-07 1.738375e-02 2.159377e-07 6.498926e-03
8.388867e-07 1.007472e-05 2.159377e-07 6.498926e-03
8.548341e-07 1.537136e-03 2.159377e-07 6.498926e-03
8.710846e-07 2.057649e-03 2.159377e-07 6.498926e-03
8.876441e-07 1.404151e-03 2.159377e-07 6.498926e-03
9.045184e-07 1.585688e-03 2.159377e-07 6.498926e-03
9.217135e-07 1.414702e-03 2.159377e-07 6.498926e-03
9.392354e-07 1.411631e-03 2.159377e-07 6.498926e-03
9.570905e-07 2.224456e-03 2.159377e-07 6.498926e-03
9.752849e-07 1.997485e-03 2.159377e-07 6.498926e-03
9.938253e-07 1.462685e-03 2.159377e-07 6.498926e-03
1.012718e-06 3.569896e-03 2.159377e-07 6.498926e-03
1.031970e-06 4.284123e-03 2.159377e-07 6.498926e-03
1.051588e-06 4.780701e-03 2.159377e-07 6.498926e-03
1.071579e-06 1.416528e-03 2.159377e-07 6.498926e-03
1.091950e-06 3.047821e-03 2.159377e-07 6.498926e-03
1.112708e-06 3.186142e-03 2.159377e-07 6.498926e-03
1.133861e-06 3.136097e-03 2.159377e-07 6.498926e-03
1.155416e-06 3.400738e-03 2.159377e-07 6.498926e-03
1.177380e-06 3.669008e-03 2.159377e-07 6.498926e-03
1.199763e-06 3.821926e-03 2.159377e-07 6.498926e-03
1.222570e-06 3.702719e-05 2.159377e-07 6.498926e-03
1.245812e-06 5.077873e-03 2.159377e-07 6.498926e-03
1.269495e-06 6.727033e-08 2.159377e-07 6.498926e-03
1.293628e-06 3.173192e-05 2.159377e-07 6.498926e-03
1.318220e-06 1.093571e-03 2.159377e-07 6.498926e-03
1.343280e-06 1.350001e-03 2.159377e-07 6.498926e-03
1.368816e-06 1.554803e-03 2.159377e-07 6.498926e-03
1.394837e-06 2.343267e-03 2.159377e-07 6.498926e-03
1.421353e-06 2.154657e-03 2.159377e-07 6.498926e-03
1.448373e-06 2.269140e-03 2.159377e-07 6.498926e-03
1.475907e-06 2.526756e-03 2.159377e-07 6.498926e-03
1.503965e-06 1.120850e-02 2.159377e-07 6.498926e-03
1.532555e-06 2.133000e-03 2.159377e-07 6.498926e-03
1.561689e-06 2.878031e-03 2.159377e-07 6.498926e-03
1.591377e-06 1.489304e-03 2.159377e-07 6.498926e-03
1.621630e-06 1.691859e-03 2.159377e-07 6.498926e-03
1.652457e-06 4.477689e-04 2.159377e-07 6.498926e-03
1.683871e-06 2.997077e-04 2.159377e-07 6.498926e-03
1.715882e-06 6.376084e-05 2.159377e-07 6.498926e-03
1.748501e-06 8.086601e-04 2.159377e-07 6.498926e-03
1.781740e-06 1.724967e-06 2.159377e-07 6.498926e-03
1.815611e-06 1.908959e-03 2.159377e-07 6.498926e-03
1.850126e-06 8.965380e-04 2.159377e-07 6.498926e-03
1.885298e-06 6.327823e-04 2.159377e-07 6.498926e-03
1.921138e-06 2.036620e-04 2.159377e-07 6.498926e-03
1.957659e-06 2.089045e-04 2.159377e-07 6.498926e-03
1.994874e-06 6.242571e-04 2.159377e-07 6.498926e-03
2.032797e-06 7.208698e-05 2.159377e-07 6.498926e-03
2.071441e-06 1.198858e-04 2.159377e-07 6.498926e-03
2.110819e-06 9.215716e-06 2.159377e-07 6.498926e-03
2.150947e-06 5.186199e-04 2.159377e-07 6.498926e-03
2.191836e-06 8.426927e-05 2.159377e-07 6.498926e-03
2.233504e-06 1.880903e-04 2.159377e-07 6.498926e-03
2.275963e-06 3.253868e-05 2.159377e-07 6.498926e-03
2.319229e-06 5.480216e-02 2.159377e-07 6.498926e-03
